a,b,c,beta,x in (A3-xTixO5),Crystal group(primary phase),A,material type
3.593,9.433,9.641,90,1,Cmcm (alpha),Al,powder
3.6199,9.5102,9.7023,90,1.25,Cmcm (alpha),Al,powder
3.6868,9.6741,9.833,90,2,Cmcm (alpha),Al,powder
3.7112,9.7201,9.8709,90,2.25,Cmcm (alpha),Al,powder
3.7311,9.7532,9.9029,90,2.5,Cmcm (alpha),Al,powder
3.746,9.7703,9.9131,90.637,2.6,C2/m (lambda),Al,powder
3.7634,9.791,9.9351,90.882,2.75,C2/m (lambda),Al,powder
3.7676,9.7951,9.9403,90.957,2.8,C2/m (lambda),Al,powder
3.7739,9.8012,9.9482,91.019,2.85,C2/m (lambda),Al,powder
3.7771,9.8056,9.9493,91.058,2.88,C2/m (lambda),Al,powder
3.7792,9.8096,9.9504,91.102,2.895,C2/m (lambda),Al,powder
3.7963,9.752,9.4212,91.563,2.9,C2/m (beta),Al,powder
3.7994,9.7498,9.4309,91.557,2.95,C2/m (beta),Al,powder
3.8009,9.7459,9.4403,91.515,3,C2/m (beta),Al,powder
3.7503,9.8081,10.071,90,1,Cmcm (alpha),Fe,crushed crystal
3.7466,9.7936,10.043,90,1.2,Cmcm (alpha),Fe,crushed crystal
3.7445,9.7859,10.0219,90,1.4,Cmcm (alpha),Fe,crushed crystal
3.7394,9.7834,9.9982,90,1.6,Cmcm (alpha),Fe,crushed crystal
3.7377,9.7194,9.9898,90,1.8,Cmcm (alpha),Fe,crushed crystal
3.7318,9.7933,9.9786,90,2,Cmcm (alpha),Fe,crushed crystal
3.757,9.79,10.079,90,2,Cmcm (alpha),Fe,powder
3.763,9.794,10.054,90,2.1,Cmcm (alpha),Fe,powder
3.771,9.792,10.051,90,2.27,Cmcm (alpha),Fe,powder
3.782,9.788,10.041,90,2.34,Cmcm (alpha),Fe,powder
3.781,9.798,10.02,90,2.5,Cmcm (alpha),Fe,powder
3.785,9.798,10.013,90,2.55,Cmcm (alpha),Fe,powder
3.785,9.823,10,90,2.68,Cmcm (alpha),Fe,powder
3.786,9.81,9.991,90.45,2.75,C2/m (lambda),Fe,powder
3.785,9.821,9.985,90.68,2.8,C2/m (lambda),Fe,powder
3.785,9.831,9.97,91.03,2.9,C2/m (lambda),Fe,powder
3.802,9.752,9.442,91.55,3,C2/m (beta),Fe,powder
