"a","b","c","alpha","beta","gamma","N","A","Ln","Q","AQ","nQ","This.work","A_vol","Cu_vol","Ln_vol","This.work.1","Alkali.Radius","Ln.radius","Cu.Radius","Chalcogenide.radius","Edge.1","Edge.2","Edge.3","Edge.4","Edge.5","Avg.edge","A.Se..bond.1","A.Se..bond.2","A.Se.bond.3","A.Se.bond.4","A.Se.bond.5","avg.pentagon.bond.length","Angle.1..Ln","Angle.4..Cu","Angle.2..Ln2","QTF","CM","Volume"
4.17843,14.70918,17.64789,90,90,90,3,"Cs","Sm","Se","CsSe","3Se",FALSE,81.1446,8.2023,32.6568,FALSE,1.74,0.958,0.6,1.98,4.058,4.058,3.9976,4.9153,3.9976,4.2053,3.5379,3.6452,3.5379,3.679,3.679,3.6158,88.14,118.55,,0.096236559,0.5198,1085
4.15293,14.69348,17.48429,90,90,90,3,"Cs","Gd","Se","CsSe","3Se",FALSE,79.781,8.7263,31.9374,FALSE,1.74,0.938,0.6,1.98,4.0137,4.0137,4.0108,4.8529,4.0108,4.18038,3.5138,3.6235,3.5138,3.6658,3.6658,3.59654,87.83,119.02,,0.090860215,0.5181,1067
4.13723,14.68758,17.41309,90,90,90,3,"Cs","Tb","Se","CsSe","3Se",FALSE,79.2969,8.1647,31.4859,FALSE,1.74,0.923,0.6,1.98,3.9953,3.9953,4.026,4.822,4.026,4.17292,3.5089,3.6126,3.5089,3.6471,3.6471,3.58492,87.819,119.04,,0.086827957,0.5176,1058
4.12483,14.68078,17.34839,90,90,90,3,"Cs","Dy","Se","CsSe","3Se",FALSE,78.8666,8.5202,31.1222,FALSE,1.74,0.912,0.6,1.98,3.982,3.982,4.0361,4.7947,4.0361,4.16618,3.5061,3.6065,3.5061,3.6373,3.6373,3.57866,87.91,119.91,,0.083870968,0.5171,1051
4.11563,14.67438,17.28959,90,90,90,3,"Cs","Ho","Se","CsSe","3Se",FALSE,78.5633,8.1415,30.8117,FALSE,1.74,0.901,0.6,1.98,3.9656,3.9656,4.0457,4.779,4.0457,4.16032,3.4986,3.604,3.4986,3.6322,3.6322,3.57312,87.89,120.04,,0.080913978,0.5165,1044
4.10313,14.66788,17.23179,90,90,90,3,"Cs","Er","Se","CsSe","3Se",FALSE,77.9056,8.3937,30.5233,FALSE,1.74,0.89,0.6,1.98,3.9471,3.9471,4.052,4.751,4.052,4.14984,3.4913,3.5864,3.4913,3.6227,3.6227,3.56288,87.74,120.13,,0.077956989,0.516,1037
4.09403,14.66198,17.17569,90,90,90,3,"Cs","Tm","Se","CsSe","3Se",FALSE,77.8025,8.1121,30.1755,FALSE,1.74,0.88,0.6,1.98,3.9383,3.9383,4.0649,4.7384,4.0649,4.14896,3.4884,3.5804,3.4884,3.6232,3.6232,3.56072,87.85,120.94,,0.075268817,0.5155,1031
4.08573,14.65528,17.12049,90,90,90,3,"Cs","Yb","Se","CsSe","3Se",FALSE,77.4881,8.2382,29.8769,FALSE,1.74,0.868,0.6,1.98,3.9274,3.9274,4.0751,4.7156,4.0751,4.14412,3.4866,3.5744,3.4866,3.6163,3.6163,3.55604,87.9,121.07,,0.072043011,0.5149,1025
4.07633,14.64868,17.07219,90,90,90,3,"Cs","Lu","Se","CsSe","3Se",FALSE,77.1334,8.1978,29.6257,FALSE,1.74,0.861,0.6,1.98,3.9145,3.9145,4.0808,4.703,4.0808,4.13872,3.4831,3.5665,3.4831,3.611,3.611,3.55094,87.888,121.27,,0.07016129,0.5145,1019
3.99618,14.1343,16.9613,90,90,90,3,"Cs","Gd","S","CsS","3S",FALSE,73.9235,7.6475,28.0975,FALSE,1.74,0.938,0.6,1.84,3.921,3.921,3.897,4.782,3.897,4.0836,3.419,3.512,3.419,3.587,3.587,3.5048,89.5,121.84,,0.094413408,0.5208,958
3.97543,14.148313,16.85702,90,90,90,3,"Cs","Dy","S","CsS","3S",FALSE,73.043,7.5762,27.8073,FALSE,1.74,0.912,0.6,1.84,3.902,3.902,3.896,4.74,3.896,4.0672,3.399,3.486,3.399,3.578,3.578,3.488,89.48,123.4,,0.087150838,0.5197,948.1
3.94823,14.109013,16.671719,90,90,90,3,"Cs","Er","S","CsS","3S",FALSE,72.077,7.5046,27.4851,FALSE,1.74,0.89,0.6,1.84,3.856,3.856,3.934,4.671,3.934,4.0502,3.396,3.457,3.396,3.55,3.55,3.4698,89.8,122.8,,0.081005587,0.5178,928.7
3.98198,14.1143,16.8473,90,90,90,3,"Cs","Tb","S","CsS","3S",FALSE,72.077,7.5046,27.4851,FALSE,1.74,0.923,0.6,1.84,3.904,3.904,3.901,4.754,3.901,4.0728,3.402,3.512,3.402,3.579,3.579,3.4948,89.8,122.6,,0.090223464,0.5195,946.9
3.96408,14.1383,16.7283,90,90,90,3,"Cs","Ho","S","CsS","3S",FALSE,72.4752,7.4675,27.2247,FALSE,1.74,0.901,0.6,1.84,3.868,3.868,3.921,4.701,3.921,4.0558,3.393,3.487,3.393,3.56,3.56,3.4786,89.58,122.83,,0.084078212,0.5179,937.5
3.93528,14.0623,16.5763,90,90,90,3,"Cs","Tm","S","CsS","3S",FALSE,71.1846,7.2093,26.3634,FALSE,1.74,0.88,0.6,1.84,3.834,3.834,3.934,4.628,3.934,4.0328,3.377,3.459,3.377,3.536,3.536,3.457,89.72,123.85,,0.078212291,0.517,917.3
3.92758,14.0783,16.5053,90,90,90,3,"Cs","Yb","S","CsS","3S",FALSE,70.979,7.1834,26.1541,FALSE,1.74,0.868,0.6,1.84,3.82,3.82,3.942,4.619,3.942,4.0286,3.367,3.456,3.367,3.535,3.535,3.452,89.62,124.06,,0.074860335,0.5159,912.6
4.0981,14.3683,16.8823,90,90,90,3,"K","Ho","Se","KSe","3Se",FALSE,69.5284,8.2971,30.4444,FALSE,1.51,0.901,0.6,1.98,3.8271,3.8271,3.93,4.42,3.93,3.98684,3.364,3.374,3.364,3.487,3.487,3.4152,84.77,114.1,,0.086246418,0.5122,994.1
4.0869812,14.36486,16.80745,90,90,90,3,"K","Er","Se","KSe","3Se",TRUE,68.9697,7.9765,30.1778,TRUE,1.51,0.89,0.6,1.98,3.80859,3.80859,3.93254,4.3973,3.93254,3.975912,3.35506,3.3676,3.35506,3.47587,3.47587,3.405892,84.5786,114.099,,0.083094556,0.5114,986.7
4.05762,14.33616,16.67869,90,90,90,3,"K","Lu","Se","KSe","3Se",TRUE,68.2799,8.0834,29.3371,TRUE,1.51,0.861,0.6,1.98,3.77699,3.77699,3.9526,4.369,3.9526,3.965636,3.35005,3.35316,3.35005,3.46323,3.46323,3.395944,84.6518,114.693,,0.0747851,0.5105,970.2
4.0631214,14.34066,16.66516,90,90,90,3,"K","Yb","Se","KSe","3Se",TRUE,68.2565,8.079,29.445,TRUE,1.51,0.868,0.6,1.98,3.78082,3.78082,3.94586,4.36096,3.94586,3.962864,3.34583,3.36057,3.34583,3.45991,3.45991,3.39441,84.6305,114.571,,0.076790831,0.51,971
4.0791,14.3583,16.7493,90,90,90,3,"K","Tm","Se","KSe","3Se",FALSE,68.9736,8.1579,29.7797,FALSE,1.51,0.88,0.6,1.98,3.8005,3.8005,3.9496,4.385,3.9496,3.97704,3.358,3.368,3.358,3.474,3.474,3.4064,84.8,114.51,,0.080229226,0.5107,981
4.10798,14.5093,17.0333,90,90,90,3,"Rb","Ho","Se","RbSe","3Se",FALSE,73.1733,8.3662,30.6215,FALSE,1.61,0.901,0.6,1.98,3.8828,3.8828,3.9813,4.5567,3.9813,4.05698,3.4177,3.4689,3.4177,3.542,3.542,3.47766,86.02,116.8,,0.083844011,0.5134,1015
4.0892,14.4986,16.9772,90,90,90,3,"Rb","Er","Se","RbSe","3Se",FALSE,72.6387,8.2825,30.2373,FALSE,1.61,0.89,0.6,1.98,3.8661,3.8661,3.987,4.538,3.987,4.04884,3.414,3.458,3.414,3.546,3.546,3.4756,85.98,117.19,,0.080779944,0.5134,1007
4.08298,14.4963,16.9173,90,90,90,3,"Rb","Tm","Se","RbSe","3Se",FALSE,72.4934,8.2201,29.9559,FALSE,1.61,0.88,0.6,1.98,3.8552,3.8552,3.9971,4.525,3.9971,4.04592,3.4107,3.46,3.4107,3.5316,3.5316,3.46892,86.03,117.44,,0.077994429,0.5125,1001
4.07608,14.4953,16.8653,90,90,90,3,"Rb","Yb","Se","RbSe","3Se",FALSE,72.3327,8.1629,29.694,FALSE,1.61,0.868,0.6,1.98,3.8464,3.8464,4.0068,4.511,4.0068,4.04348,3.4089,3.457,3.4089,3.5284,3.5284,3.46632,86.09,117.69,,0.074651811,0.5119,996.5
3.97058,13.9673,16.5973,90,90,90,3,"Rb","Tb","S","RbS","3S",FALSE,68.1208,7.2524,27.4416,FALSE,1.61,0.923,0.6,1.84,3.8213,3.8213,3.851,4.481,3.851,3.96512,3.3225,3.364,3.3225,3.4846,3.4846,3.39564,88.12,120.51,,0.093623188,0.5165,920.5
3.95188,13.9513,16.4733,90,90,90,3,"Rb","Dy","S","RbS","3S",FALSE,67.3847,7.25,26.9079,FALSE,1.61,0.912,0.6,1.84,3.7923,3.7923,3.8621,4.444,3.8621,3.95056,3.3093,3.3541,3.3093,3.47,3.47,3.38254,88.08,120.87,,0.090434783,0.5152,908.2
3.945111,13.9154,16.4085,90,90,90,3,"Rb","Ho","S","RbS","3S",FALSE,66.7117,7.1478,26.7218,FALSE,1.61,0.901,0.6,1.84,3.7757,3.7757,3.8506,4.427,3.8506,3.93592,3.2928,3.3409,3.2928,3.4605,3.4605,3.3695,87.95,120.96,,0.087246377,0.5146,900.8
3.92833,13.8971,16.3481,90,90,90,3,"Rb","Er","S","RbS","3S",FALSE,66.2298,7.1209,26.339,FALSE,1.61,0.89,0.6,1.84,3.7565,3.7565,3.859,4.411,3.859,3.9284,3.2883,3.3286,3.2883,3.4528,3.4528,3.36216,87.9,121.31,,0.084057971,0.5144,892.5
3.92768,13.9543,16.3163,90,90,90,3,"Rb","Yb","S","RbS","3S",FALSE,66.604,7.1106,26.2545,FALSE,1.61,0.868,0.6,1.84,3.757,3.757,3.886,4.396,3.886,3.9364,3.295,3.338,3.295,3.457,3.457,3.3684,87.97,121.5,,0.077681159,0.5133,894.3
3.92668,13.9163,16.3233,90,90,90,3,"Rb","Tm","S","RbS","3S",FALSE,66.4617,7.087,26.1403,FALSE,1.61,0.88,0.6,1.84,3.754,3.754,3.884,4.396,3.884,3.9344,3.295,3.331,3.295,3.455,3.455,3.3662,88.01,121.51,,0.08115942,0.5138,892
14.22964,4.100391,16.41185,90,109.4303,90,2,"K","Dy","Se","KSe","2Se",TRUE,69.0554,7.8339,30.7168,TRUE,1.51,0.912,0.6,1.98,4.08705,3.91323,3.88465,4.12701,4.27061,4.05651,3.97112,3.2836,3.26436,3.49677,3.29387,3.461944,91.267,109.281,86.632,0.089398281,0.5342,1009
14.20036,4.0887614,16.37957,90,109.4155,90,2,"K","Ho","Se","KSe","2Se",TRUE,68.7305,7.8205,30.3914,TRUE,1.51,0.901,0.6,1.98,4.0787,3.90032,3.88785,4.127,4.26786,4.052346,3.96637,3.27733,3.2652,3.48727,3.29172,3.457578,91.317,109.624,86.666,0.086246418,0.5343,1002
13.706113,3.94824,15.811115,90,109.7231,90,2,"K","Dy","S","KS","2S",FALSE,63.2968,6.9069,27.5086,FALSE,1.51,0.912,0.6,1.84,3.933,3.819,3.778,4.023,4.123,3.9352,3.797,3.178,3.144,3.444,3.209,3.3544,91.75,113.61,88.73,0.093134328,0.535,903
13.676014,3.936014,15.795016,90,109.6662,90,2,"K","Ho","S","KS","2S",FALSE,63.2087,6.9853,26.5036,FALSE,1.51,0.901,0.6,1.84,3.9287,3.087,3.795,4.028,4.1181,3.79136,3.793,3.1772,3.1573,3.442,3.2036,3.35462,91.93,114.11,88.88,0.089850746,0.5351,897.1
13.8971,3.98833,16.0541,90,109.2731,90,2,"Rb","Gd","S","RbS","2S",FALSE,67.6235,7.167,27.8047,FALSE,1.61,0.938,0.6,1.84,4.036,3.8917,3.8272,4.141,4.1885,4.01688,3.844,3.277,3.2241,3.5055,3.2885,3.42782,93.47,115.8,89.57,0.097971014,0.5348,937
