Material.ID,Formula,DOI,Crystal.System,Piezoelectric.Modulus,a,b,c,alpha,beta,gamma,Space.Group.Number,Space.Group.Symbol,CDM
mp-8612,Sb2TeSe2,10.1038/sdata.2015.53,Trigonal,1.15653034,10.37335543,10.37335543,10.37335543,22.98462657,22.98462657,22.98462657,160,R3m,1.1813
mp-1434,MoS2,10.1038/sdata.2015.53,Trigonal,0.739349599,6.73776894,6.73776894,6.73776874,27.33682782,27.33682782,27.33682782,160,R3m,1.1552
mp-23162,ZrCl2,10.1038/sdata.2015.53,Trigonal,0.162400425,6.94302223,6.94302212,6.94302221,28.38690174,28.38690174,28.38690174,160,R3m,1.1482
mp-3532,CrAgSe2,10.1038/sdata.2015.53,Trigonal,0.278161896,7.34131411,7.34131411,7.34131411,29.47459481,29.47459481,29.47459481,160,R3m,1.1406
mp-1078186,KZn2BCl2O3,10.1038/sdata.2015.53,Trigonal,0.422267624,9.51385702,9.51385702,9.51385673,30.49695646,30.49695646,30.49695646,155,R32,1.1332
mp-556120,RbTl(SO4)2,10.1038/sdata.2015.53,Trigonal,0.569084868,9.06045751,9.06045751,9.06045747,31.35261361,31.35261361,31.35260995,155,R32,1.1267
mp-9844,BaAl2B2O7,10.1038/sdata.2015.53,Trigonal,0.40509344,8.8091538,8.8091538,8.80915397,33.34059099,33.34059099,33.34058731,155,R32,1.111
mp-23910,CrHO2,10.1038/sdata.2015.53,Trigonal,4.556029453,4.79401449,4.79401449,4.79401449,36.47392936,36.47392936,36.47392936,160,R3m,1.084
mp-12885,BaAl2Sb2O7,10.1038/sdata.2015.53,Trigonal,0.269979651,8.76911051,8.76911051,8.76911031,36.63098977,36.63098977,36.6309898,155,R32,1.0826
mp-6870,KBe2BO3F2,10.1038/sdata.2015.53,Trigonal,0.104494634,6.57509383,6.57509315,6.57509393,39.31847446,39.3184816,39.31847042,155,R32,1.0569
mp-1191341,Te2H2O3F4,10.1038/sdata.2015.53,Orthorhombic,0.81279,12.02268725,10.7633478,6.37205921,85.01983809,63.10960141,31.8705605,43,Fdd2,1.0671
mp-552185,AgNO3,10.1038/sdata.2015.53,Trigonal,0.6310826,6.20176848,6.20168496,6.20168693,49.08953044,49.08691654,49.08856255,161,R3c,0.9446
mp-556489,Ta2SnO6,10.1038/sdata.2015.53,Monoclinic,2.661785951,9.05726002,9.05726002,5.62191553,88.6212305,88.6212305,31.54040145,9,Cc,1.0128
mp-1190487,Na2Zn(SnS3)2,10.1038/sdata.2015.53,Orthorhombic,0.67251,13.68824954,12.55741615,7.56466652,81.66368656,65.18853732,33.14777612,43,Fdd2,1.0279
mp-14444,Hf(PS3)2,10.1038/sdata.2015.53,Orthorhombic,0.156230462,12.2534985,11.55960462,6.96511374,78.55776102,67.58144585,33.86838748,43,Fdd2,1.0086
mp-1189227,NaAl(PS3)2,10.1038/sdata.2015.53,Orthorhombic,0.264526453,11.88454953,11.27200191,6.95262479,77.41396003,67.76913691,34.81690306,43,Fdd2,0.9752
mp-541950,GaN5O14,10.1038/sdata.2015.53,Monoclinic,0.274529489,7.17769108,7.17769108,8.87638639,51.89802866,51.89802866,48.00918465,5,C2,0.9267
mp-551826,NbTlBr4O,10.1038/sdata.2015.53,Monoclinic,1.005904096,7.25835908,7.25835908,7.84046268,73.70878675,73.70878675,32.67065748,5,C2,0.7021
mp-643009,SrMgH4,10.1038/sdata.2015.53,Orthorhombic,0.767951502,7.02241797,7.02241797,5.57623307,90,90,32.73613562,36,Cmc2_1,0.6945
mp-8007,LiUO3,10.1038/sdata.2015.53,Trigonal,3.072738933,5.88592778,5.88592743,5.88592784,54.84616027,54.8461627,54.84616886,161,R3c,0.8629
mp-19448,Ni3TeO6,10.1038/sdata.2015.53,Trigonal,0.401485888,5.44156158,5.44156158,5.44156158,55.89987284,55.89977091,55.89977091,146,R3,0.8465
mp-3666,LiTaO3,10.1038/sdata.2015.53,Trigonal,3.400691352,5.47684766,5.47684766,5.47684766,55.89940507,55.89940795,55.89941377,161,R3c,0.8465
mp-938,GeTe,10.1038/sdata.2015.53,Trigonal,3.845589581,4.40277633,4.40277602,4.40277502,56.81262634,56.81263336,56.81261992,160,R3m,0.832
mp-18753,Na3Mo(OF)3,10.1038/sdata.2015.53,Trigonal,0.567632843,5.80614613,5.80614595,5.80614606,57.29251827,57.29251842,57.2925149,146,R3,0.8242
mp-772968,LiTlPHO3,10.1038/sdata.2015.53,Monoclinic,0.182090712,7.66533331,7.66533331,5.45029098,89.50503115,89.50503115,39.77108637,5,C2,0.8199
mp-28922,Ca2Si5N8,10.1038/sdata.2015.53,Monoclinic,0.357452879,7.70372644,7.70372644,9.68072662,69.56208438,69.56208438,42.6530813,9,Cc,0.7416
mp-4514,NaNbO3,10.1038/sdata.2015.53,Trigonal,5.622146792,5.61719857,5.61719808,5.61719816,58.72980802,58.72981109,58.72980534,161,R3c,0.8004
mp-863752,K2ZnH4(I2O7)2,10.1038/sdata.2015.53,Monoclinic,0.37636797,8.01567136,8.01567136,8.35483911,59.01468658,59.01468658,58.09461876,5,C2,0.8008
mp-1019560,Ca2B2O5,10.1038/sdata.2015.53,Orthorhombic,0.16603,3.54803844,6.35296196,19.25918878,90,90,90,19,P2_12_12_1,1.8241
mp-1185571,CsAs(HO2)2,10.1038/sdata.2015.53,Orthorhombic,0.229838046,8.12271843,7.09032558,6.90523296,70.94024473,55.59324361,53.46651166,43,Fdd2,0.7664
mp-34126,Cu4SnP10,10.1038/sdata.2015.53,Trigonal,0.787757811,7.24423993,7.25654974,7.25654992,59.99999259,59.94377782,59.94377336,160,R3m,0.7792
mp-29365,Li5BiO5,10.1038/sdata.2015.53,Monoclinic,1.400739816,5.43769698,5.43769698,6.05401987,71.91324149,71.91324149,46.28069473,8,Cm,0.6862
mp-550751,BaBeSiO4,10.1038/sdata.2015.53,Monoclinic,1.71173177,5.12008946,5.19298789,5.19298588,61.12163874,60.65268866,60.65271269,8,Cm,0.7643
mp-555874,LiAsS2,10.1038/sdata.2015.53,Monoclinic,0.587938155,6.54642543,6.54642543,5.36852991,68.96894086,68.96894086,48.67904726,9,Cc,0.7243
mp-28407,SBr2O,10.1038/sdata.2015.53,Orthorhombic,0.833881093,4.11735153,11.79866766,18.40368686,90,90,90,29,Pca2_1,1.6744
mp-1078367,InNi2SbO6,10.1038/sdata.2015.53,Trigonal,0.554180159,5.28642894,5.28634413,5.64426112,62.06167628,62.05260244,59.99856683,146,R3,0.7544
mp-1078244,ScNi2SbO6,10.1038/sdata.2015.53,Trigonal,0.627719203,5.2288482,5.228835,5.60926477,62.2191885,62.22311683,60.00006868,146,R3,0.7525
mp-580941,AgI,10.1038/sdata.2015.53,Hexagonal,0.249487809,4.50627558,4.50627608,15.26236861,90,90,120.0000074,186,P6_3mc,1.6113
mp-27322,Nb2Te3O11,10.1038/sdata.2015.53,Orthorhombic,0.24623,4.04108615,7.81850259,15.8039399,90,90,90,18,P2_12_12,1.6032
mp-12433,NaSnN,10.1038/sdata.2015.53,Hexagonal,0.526540161,3.36694757,3.36694757,11.023756,90,90,120.0000074,186,P6_3mc,1.5881
