material,d33,DOI,HexA,HexB,HexC,HexAlpha,HexBeta,HexGamma,HexCM,HexC:Aratio,RhombA,RhombB,RhombC,RhombAlpha,RhombBeta,RhombGamma,RhombCM
MgO,1.7,10.7567/APEX.11.041201,3.32,3.32,5.12,90,90,120,0.8495,1.542168675,2.034065442,2.034065442,2.034065442,58.06832962,58.06832962,58.06832962,0.8114
AlN,1.42,10.7567/APEX.11.041201,3.13,3.13,5.02,90,90,120,0.8985,1.603833866,1.971950529,1.971950529,1.971950529,58.37322594,58.37322594,58.37322594,0.8064
ZnO,1.04,10.7567/APEX.11.041201,3.29,3.29,5.3,90,90,120,0.9039,1.610942249,2.079372234,2.079372234,2.079372234,58.41108144,58.41108144,58.41108144,0.8057
InN,0.94,10.7567/APEX.11.041201,3.58,3.58,5.78,90,90,120,0.9067,1.61452514,2.266294087,2.266294087,2.266294087,58.43036667,58.43036667,58.43036667,0.8054
GaN,0.44,10.7567/APEX.11.041201,3.23,3.23,5.27,90,90,120,0.9196,1.631578947,2.060361349,2.060361349,2.060361349,58.52401404,58.52401404,58.52401404,0.8038
SiC,0.33,10.7567/APEX.11.041201,3.1,3.1,5.08,90,90,120,0.9249,1.638709677,1.983722651,1.983722651,1.983722651,58.56406633,58.56406633,58.56406633,0.8032
BP,0.32,10.7567/APEX.11.041201,3.2,3.2,5.31,90,90,120,0.9402,1.659375,2.066561825,2.066561825,2.066561825,58.68305374,58.68305374,58.68305374,0.8011
CdS,0.31,10.7567/APEX.11.041201,4.2,4.2,6.82,90,90,120,0.9137,1.623809524,2.669839779,2.669839779,2.669839779,58.48097246,58.48097246,58.48097246,0.8045
CuH,0.22,10.7567/APEX.11.041201,2.87,2.87,4.56,90,90,120,0.8868,1.588850174,1.795998639,1.795998639,1.795998639,58.29522242,58.29522242,58.29522242,0.8077
BeO,0.21,10.7567/APEX.11.041201,2.72,2.72,4.41,90,90,120,0.9119,1.621323529,1.727120275,1.727120275,1.727120275,58.46733331,58.46733331,58.46733331,0.8048
MgTe,0.18,10.7567/APEX.11.041201,4.61,4.61,7.49,90,90,120,0.9144,1.62472885,2.931669983,2.931669983,2.931669983,58.48603263,58.48603263,58.48603263,0.8045
CdSe,0.15,10.7567/APEX.11.041201,4.39,4.39,7.14,90,90,120,0.9157,1.62642369,2.79387624,2.79387624,2.79387624,58.49538452,58.49538452,58.49538452,0.8043
ZnS,0.09,10.7567/APEX.11.041201,3.85,3.85,6.3,90,90,120,0.9232,1.636363636,2.461086029,2.461086029,2.461086029,58.55083133,58.55083133,58.55083133,0.8034
AgI,0.05,10.7567/APEX.11.041201,4.68,4.68,7.7,90,90,120,0.9298,1.645299145,3.00356085,3.00356085,3.00356085,58.60154035,58.60154035,58.60154035,0.8025
LiI,0.04,10.7567/APEX.11.041201,4.56,4.56,7.41,90,90,120,0.9146,1.625,2.900224129,2.900224129,2.900224129,58.48752678,58.48752678,58.48752678,0.8044
CdTe,-0.04,10.7567/APEX.11.041201,4.68,4.68,7.67,90,90,120,0.9251,1.638888889,2.995019941,2.995019941,2.995019941,58.56507965,58.56507965,58.56507965,0.8031
CuI,-0.04,10.7567/APEX.11.041201,4.3,4.3,7.07,90,90,120,0.929,1.644186047,2.758318731,2.758318731,2.758318731,58.59517927,58.59517927,58.59517927,0.8026
ZnSe,-0.1,10.7567/APEX.11.041201,4.05,4.05,6.64,90,90,120,0.9255,1.639506173,2.592555582,2.592555582,2.592555582,58.56857249,58.56857249,58.56857249,0.8031
BN,-1.08,10.7567/APEX.11.041201,2.56,2.56,4.24,90,90,120,0.9379,1.65625,1.650966047,1.650966047,1.650966047,58.66478614,58.66478614,58.66478614,0.8015
AlNcalc1,1.67,10.1063/1.4953856,3.092,3.092,4.942,90,90,120,0.8942,1.598318241,1.943188331,1.943188331,1.943188331,58.34422771,58.34422771,58.34422771,0.8068
AlNcalc2,1.39,10.1063/1.4953856,3.131,3.131,5.018,90,90,120,0.8976,1.602682849,1.971561282,1.971561282,1.971561282,58.36714733,58.36714733,58.36714733,0.8065
Sc0.125Al0.875N ,1.62,10.1063/1.4953856,3.181,3.181,5.055,90,90,120,0.887,1.589122917,1.990862069,1.990862069,1.990862069,58.29662033,58.29662033,58.29662033,0.8076
Sc0.25Al0.75N (Model A) ,1.75,10.1063/1.4953856,3.246,3.246,5.059,90,90,120,0.8628,1.55853358,2.003607774,2.003607774,2.003607774,58.14502874,58.14502874,58.14502874,0.8102
Sc0.25Al0.75N (Model B) ,1.94,10.1063/1.4953856,3.246,3.246,5.101,90,90,120,0.8731,1.571472582,2.015405032,2.015405032,2.015405032,58.20786129,58.20786129,58.20786129,0.8091
Sc0.25Al0.75N (Model C) ,1.93,10.1063/1.4953856,3.246,3.246,5.101,90,90,120,0.8731,1.571472582,2.015405032,2.015405032,2.015405032,58.20786129,58.20786129,58.20786129,0.8091
Sc0.5Al0.5N (Model A) ,3.19,10.1063/1.4953856,3.364,3.364,4.942,90,90,120,0.7874,1.469084423,1.992760787,1.992760787,1.992760787,57.76543401,57.76543401,57.76543401,0.8165
Sc0.5Al0.5N (Model B) ,2.55,10.1063/1.4953856,3.329,3.329,4.962,90,90,120,0.8061,1.490537699,1.99175202,1.99175202,1.99175202,57.84741835,57.84741835,57.84741835,0.8151
Sc0.5Al0.5N (Model C) ,2.9,10.1063/1.4953856,3.399,3.399,5.022,90,90,120,0.7948,1.47749338,2.021377006,2.021377006,2.021377006,57.79686293,57.79686293,57.79686293,0.8159
Sc0.75Al0.25N (Model A) ,4.62,10.1063/1.4953856,3.594,3.594,4.605,90,90,120,0.6057,1.28130217,1.947159213,1.947159213,1.947159213,57.32250074,57.32250074,57.32250074,0.8237
Sc0.75Al0.25N (Model C) ,5.11,10.1063/1.4953856,3.594,3.594,4.577,90,90,120,0.5973,1.273511408,1.939809985,1.939809985,1.939809985,57.3156912,57.3156912,57.3156912,0.8238
Sc0.875Al0.125N ,3.67,10.1063/1.4953856,3.668,3.668,4.498,90,90,120,0.5455,1.226281352,1.934661268,1.934661268,1.934661268,57.29579954,57.29579954,57.29579954,0.8242
Sc0.482Ga0.518N,23.60406091,10.1063/5.0236507,3.436125654,3.436125654,5.128399312,90,90,120,0.8078,1.492494696,2.057707436,2.057707436,2.057707436,57.85519007,57.85519007,57.85519007,0.815
Sc0.498Ga0.502N,22.65228426,10.1063/5.0236507,3.45078534,3.45078534,5.119104991,90,90,120,0.8,1.483460861,2.057861764,2.057861764,2.057861764,57.81972073,57.81972073,57.81972073,0.8156
Sc0.49Ga0.51N,22.2715736,10.1063/5.0236507,3.446596859,3.446596859,5.119104991,90,90,120,0.8015,1.485263638,2.057081693,2.057081693,2.057081693,57.82671591,57.82671591,57.82671591,0.8154
Sc0.47Ga0.53N,21.82741117,10.1063/5.0236507,3.420418848,3.420418848,5.172348465,90,90,120,0.8246,1.512197393,2.067001417,2.067001417,2.067001417,57.93611147,57.93611147,57.93611147,0.8136
Sc0.472Ga0.528N,21.51015228,10.1063/5.0236507,3.431280282,3.431280282,5.159380379,90,90,120,0.8173,1.503631285,2.065399888,2.065399888,2.065399888,57.9003345,57.9003345,57.9003345,0.8142
Sc0.411Ga0.589N,20.05076142,10.1063/5.0236507,3.396335079,3.396335079,5.193459552,90,90,120,0.8387,1.529136387,2.068470022,2.068470022,2.068470022,58.00950791,58.00950791,58.00950791,0.8124
Sc0.438Ga0.562N,19.73350254,10.1063/5.0236507,3.419371728,3.419371728,5.170740103,90,90,120,0.8246,1.512190108,2.066361704,2.066361704,2.066361704,57.93608066,57.93608066,57.93608066,0.8136
Sc0.418Ga0.582N,18.65482234,10.1063/5.0236507,3.414136126,3.414136126,5.18313253,90,90,120,0.8296,1.518138803,2.068847997,2.068847997,2.068847997,57.96145748,57.96145748,57.96145748,0.8132
Sc0.431Ga0.569N,18.46446701,10.1063/5.0236507,3.406806283,3.406806283,5.19242685,90,90,120,0.8346,1.524133285,2.070094621,2.070094621,2.070094621,57.98746676,57.98746676,57.98746676,0.8128
Sc0.511Ga0.489N,17.25888325,10.1063/5.0236507,3.489528796,3.489528796,5.116006885,90,90,120,0.7848,1.466102498,2.064254982,2.064254982,2.064254982,57.75450993,57.75450993,57.75450993,0.8166
Sc0.479Ga0.521N,29.35768262,10.1063/5.0236507,3.446596859,3.446596859,5.002409639,90,90,120,0.7717,1.4514055,2.024931607,2.024931607,2.024931607,57.7023785,57.7023785,57.7023785,0.8175
Sc0.461Ga0.539N,31.1209068,10.1063/5.0236507,3.444502618,3.444502618,5.005507745,90,90,120,0.7733,1.453187383,2.025386275,2.025386275,2.025386275,57.70854649,57.70854649,57.70854649,0.8174
Sc0.486Ga0.514N,31.47355164,10.1063/5.0236507,3.451899878,3.451899878,5.006540448,90,90,120,0.7708,1.45037244,2.027068492,2.027068492,2.027068492,57.69882196,57.69882196,57.69882196,0.8176
Sc0.481Ga0.519N,32.79596977,10.1063/5.0236507,3.460209424,3.460209424,4.976592083,90,90,120,0.7599,1.438234359,2.020437742,2.020437742,2.020437742,57.65810723,57.65810723,57.65810723,0.8182
Sc0.479Ga0.521N,33.32493703,10.1063/5.0236507,3.436064999,3.436064999,4.984853701,90,90,120,0.7711,1.450744879,2.018120938,2.018120938,2.018120938,57.70010252,57.70010252,57.70010252,0.8175
Sc0.464Ga0.536N,25.4625,10.1063/5.0236507,3.447791183,3.447791183,5.094320138,90,90,120,0.7949,1.477560521,2.050456906,2.050456906,2.050456906,57.79711755,57.79711755,57.79711755,0.8159
Sc0.471Ga0.529N,26.6875,10.1063/5.0236507,3.436716686,3.436716686,5.066437177,90,90,120,0.7919,1.474208566,2.040691801,2.040691801,2.040691801,57.78447662,57.78447662,57.78447662,0.8161
Sc0.467Ga0.533N,27.125,10.1063/5.0236507,3.44973822,3.44973822,5.047848537,90,90,120,0.7823,1.463255533,2.038012884,2.038012884,2.038012884,57.74418893,57.74418893,57.74418893,0.8168
Sc0.476Ga0.524N,28.2625,10.1063/5.0236507,3.464905376,3.464905376,5.075731497,90,90,120,0.7837,1.464897579,2.048539303,2.048539303,2.048539303,57.7501288,57.7501288,57.7501288,0.8167
Sc0.468Ga0.532N,30.1,10.1063/5.0236507,3.410477341,3.410477341,4.996,90,90,120,0.7837,1.464897579,2.016360078,2.016360078,2.016360078,57.7501288,57.7501288,57.7501288,0.8167
Sc0.497Ga0.503N,30.5375,10.1063/5.0236507,3.465241911,3.465241911,4.970395869,90,90,120,0.7563,1.434357542,2.019701204,2.019701204,2.019701204,57.64552305,57.64552305,57.64552305,0.8184
