[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3929698594.85729,07/09/2024,2:56 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 419, MultiVu Release 2.3.4.15,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 F0,MOTOR_HW_VERSION
INFO,MMC1118,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM313,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB345,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC210,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI318,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,ML_Poot_20230621_1_DT_1097B_K2CoCu3S4_SC2_1cycle_20240708_MvT,SAMPLE_MATERIAL
INFO,DT1097B_K2CoCu3S4_SC2_1cycle,SAMPLE_COMMENT
INFO,16.3,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,66.8,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3929700117.30902,1.79996860027313,49.9692611694336,,,3,,,,27.058557510376,,,,,,,,,,,,,,,,,,,,,,,,,1.79996860027313,1.79996860027313,49.9692611694336,49.9692611694336,,,2.70780730247498,,0,,,,,,1,1,1,1.79996860027313,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3929700134.86878,1.8004794716835,49.9692611694336,,,6,,,,27.058557510376,,,1,,,,,,,,,,,,,,,,,,,,,,1.79900681972504,1.80076694488525,49.9692611694336,49.9692611694336,,,2.67419743537903,,1,0,0,0,0.013885498046875,28.8367557525635,1,1,1,1.8002016544342,0,2084574464,1.80001159906387,,,0.000703484913978666,3.50949940246873E-5,0.000703484899712411,3.50949931510432E-5,0.978184759616852,0.978184938430786,27.0581970214844,0.177418440580368,30,4,200,0.000361900340067223,-2.51667976379395,0.816616296768188,1,,,,,,,,,,,,,,,,
,3929700151.74318,1.89654856920242,49.9692611694336,,,6,,,,27.058557510376,,,1,,,,,,,,,,,,,,,,,,,,,,1.83365726470947,1.95498371124268,49.9692611694336,49.9692611694336,,,2.78128933906555,,1,0,0,0,0.013885498046875,28.3479976654053,6,1,1,1.95943987369537,0,2084574304,1.89194622039795,,,0.00070207485472102,3.5024631828593E-5,0.000702074837196242,3.50246307789797E-5,0.978184580802918,0.978184819221497,27.0581817626953,,30,4,200,-3.61782804247923E-5,-2.51311111450195,0.815832018852234,1,,,,,,,,,,,,,,,,
,3929700161.56599,2.02517551183701,49.9692611694336,,,6,,,,27.058557510376,,,1,,,,,,,,,,,,,,,,,,,,,,1.95943987369537,2.07358193397522,49.9692611694336,49.9692611694336,,,2.87311244010925,,1,0,0,0,0.013885498046875,28.3479976654053,6,1,1,2.09091114997864,0,2084574400,2.01385545730591,,,0.000701000275982004,3.497102451978E-5,0.000701000266701061,3.49710240157609E-5,0.978201985359192,0.978202044963837,27.0583763122559,5.20176649093628,30,4,200,0.00010011099948315,-2.50922846794128,0.812793254852295,1,,,,,,,,,,,,,,,,
,3929700171.42568,2.16090071201324,49.9692611694336,,,6,,,,27.058557510376,,,1,,,,,,,,,,,,,,,,,,,,,,2.09396314620972,2.22783827781677,49.9692611694336,49.9692611694336,,,2.96645331382751,,1,0,0,0,0.013885498046875,28.8367557525635,6,1,1,2.22783827781677,0,2084574240,2.15720920562744,,,0.000700830999243745,3.49625919963828E-5,0.000700830989619434,3.4962591467839E-5,0.978183090686798,0.978183150291443,27.0583591461182,0.308195531368256,30,4,200,9.25158747122623E-5,-2.5096607208252,0.811262667179108,1,,,,,,,,,,,,,,,,
,3929700181.31486,2.30119037628174,49.9692611694336,,,6,,,,27.058557510376,,,1,,,,,,,,,,,,,,,,,,,,,,2.23295712471008,2.36617732048035,49.9692611694336,49.9692611694336,,,3.0534873008728,,1,0,0,0,0.013885498046875,28.8367557525635,6,1,1,2.36942362785339,0,2084574240,2.29667830467224,,,0.000701199759446787,3.49809686130048E-5,0.000701199759833266,3.49809686321713E-5,0.978218853473663,0.978218853473663,27.0585651397705,5.29644393920898,30,4,200,0.000216450091102161,-2.51202130317688,0.810524880886078,1,,,,,,,,,,,,,,,,
,3929700191.20699,2.44005119800568,49.9692611694336,,,6,,,,27.058557510376,,,1,,,,,,,,,,,,,,,,,,,,,,2.37136244773865,2.50520205497742,49.9692611694336,49.9692611694336,,,3.13756847381592,,1,0,0,0,0.013885498046875,28.3479976654053,6,1,1,2.5087399482727,0,2084574464,2.4353119134903,,,0.000701798693759603,3.50108324395786E-5,0.000701798695502722,3.50108325257895E-5,0.978235185146332,0.978235185146332,27.0585842132568,5.29627704620361,30,4,200,0.000224007948418148,-2.51490783691406,0.810657858848572,1,,,,,,,,,,,,,,,,
,3929700209.75074,2.70798182487488,49.9692611694336,,,6,,,,27.0635841243239,,,1,,,,,,,,,,,,,,,,,,,,,,2.63717365264893,2.77033472061157,49.9692611694336,49.9692611694336,,,3.28623628616333,,1,0,0,0,0.013885498046875,28.3479976654053,6,1,1,2.77878999710083,0,2084574368,2.70473208427429,,,0.000703559177440242,3.50986806827298E-5,0.000703559633234277,3.50986739026873E-5,0.978192150592804,0.978230774402618,27.058708190918,0,30,4,200,0.000275133643299341,-2.52223944664001,0.811761200428009,1,,,,,,,,,,,,,,,,
,3929700219.63447,2.84072375297546,49.9692611694336,,,6,,,,27.0635841243239,,,1,,,,,,,,,,,,,,,,,,,,,,2.77878999710083,2.8986656665802,49.9692611694336,49.9692611694336,,,3.35476493835449,,1,0,0,0,0.013885498046875,28.3479976654053,6,1,1,2.9026575088501,0,2084574368,2.83901116847992,,,0.000704630918000381,3.51521785004396E-5,0.000704631350015113,3.51521720943056E-5,0.978165566921234,0.978202044963837,27.0588417053223,0,30,4,200,0.000291323522105813,-2.52646708488464,0.812960863113403,1,,,,,,,,,,,,,,,,
,3929700229.48623,2.97160840034485,49.9692611694336,,,6,,,,27.0635841243239,,,1,,,,,,,,,,,,,,,,,,,,,,2.90489220619202,3.03150200843811,49.9692611694336,49.9692611694336,,,3.42342138290405,,1,0,0,0,0.013885498046875,28.3479976654053,6,1,1,3.03832459449768,0,2084574240,2.96493549346924,,,0.000705661416412999,3.52035770310965E-5,0.000705661849852773,3.52035705493178E-5,0.978187739849091,0.978224337100983,27.0588340759277,0.188800171017647,30,4,200,0.000260774308117107,-2.53059673309326,0.813629925251007,1,,,,,,,,,,,,,,,,
