[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3930455864.36921,07/18/2024,9:17 am
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 419, MultiVu Release 2.3.4.15,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 F0,MOTOR_HW_VERSION
INFO,MMC1118,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM313,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB345,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC210,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI318,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,ML_Barksdale_20240705_1_MRG128B_q(cs)=7_q(cu)=0.1_no_peroxide_ony_H20_20.0mg_ZFC_FC_MvT_10000oe,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,15.7,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,67.56,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3930457401.91471,1.79852485656738,49.981502532959,,,3,,,,26.9834613800049,,,,,,,,,,,,,,,,,,,,,,,,,1.79852485656738,1.79852485656738,49.981502532959,49.981502532959,,,2.85992741584778,,0,,,,,,5,1,1,1.79852485656738,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3930457429.7892,1.80038714408874,49.981502532959,,,6,,,,26.9834613800049,,,1,,,,,,,,,,,,,,,,,,,,,,1.79909026622772,1.80055975914001,49.981502532959,49.981502532959,,,2.81647181510925,,1,0,0,0,0.013885498046875,27.8592376708984,1,1,1,1.80036509037018,0,2084574560,1.80002822875977,,,0.000971999302533454,4.84792244319015E-5,0.000971999519908326,4.84792253171056E-5,0.996405839920044,0.996463477611542,26.9858856201172,,30,4,200,0.000423198944190517,-4.33421611785889,0.238463640213013,1,,,,,,,,,,,,,,,,
,3930457446.78154,1.91829997301102,49.981502532959,,,6,,,,26.9834613800049,,,1,,,,,,,,,,,,,,,,,,,,,,1.85270631313324,1.97805976867676,49.981502532959,49.981502532959,,,2.95170950889587,,1,0,0,0,0.013885498046875,28.3479976654053,6,1,1,1.98389363288879,0,2084574432,1.913094830513,,,0.000970385323257289,4.83987463755172E-5,0.000970385403286748,4.83987439968161E-5,0.996358573436737,0.99639493227005,26.9854030609131,,30,4,200,0.000177318870555609,-4.32963180541992,0.236025676131248,1,,,,,,,,,,,,,,,,
,3930457456.6426,2.05402004718781,49.981502532959,,,6,,,,26.9834613800049,,,1,,,,,,,,,,,,,,,,,,,,,,1.98951077461243,2.11501383781433,49.981502532959,49.981502532959,,,3.05071210861206,,1,0,0,0,0.013885498046875,27.8592376708984,6,1,1,2.11852931976318,0,2084574464,2.0520870923996,,,0.000972489274199627,4.8503702703699E-5,0.000972489365997919,4.85037005217265E-5,0.996220111846924,0.996257185935974,26.9854583740234,0.188776209950447,30,4,200,0.000572306162212044,-4.34151029586792,0.238145813345909,1,,,,,,,,,,,,,,,,
,3930457475.21882,2.31055116653442,49.981502532959,,,6,,,,26.9884978699917,,,1,,,,,,,,,,,,,,,,,,,,,,2.2440459728241,2.37170958518982,49.981502532959,49.981502532959,,,3.21891617774963,,1,0,0,0,0.013885498046875,28.3479976654053,6,1,1,2.37705636024475,0,2084574464,2.30540289878845,,,0.000984656621810684,4.91106208998882E-5,0.000984657132976265,4.91106243788169E-5,0.995895802974701,0.996006548404694,26.9849147796631,INF,30,4,200,0.000900225713849068,-4.38777780532837,0.253466576337814,1,,,,,,,,,,,,,,,,
,3930457485.14876,2.44741368293762,49.981502532959,,,6,,,,26.9884978699917,,,1,,,,,,,,,,,,,,,,,,,,,,2.3834171295166,2.51487612724304,49.981502532959,49.981502532959,,,3.30400896072388,,1,0,0,0,0.013885498046875,27.8592376708984,6,1,1,2.51487612724304,0,2084574240,2.44652695655823,,,0.000992776069326387,4.95156137278594E-5,0.000992776680061108,4.95156198309078E-5,0.995724678039551,0.995841324329376,26.9847450256348,0.366761565208435,30,4,200,0.000985957332886755,-4.41738128662109,0.263697147369385,1,,,,,,,,,,,,,,,,
,3930457495.00709,2.58728134632111,49.981502532959,,,6,,,,26.9884978699917,,,1,,,,,,,,,,,,,,,,,,,,,,2.51929116249084,2.64895939826965,49.981502532959,49.981502532959,,,3.38871812820435,,1,0,0,0,0.013885498046875,27.8592376708984,6,1,1,2.65527153015137,0,2084574272,2.58295080661774,,,0.00100178370372487,4.9964921519345E-5,0.0010017843369152,4.99649237409594E-5,0.9955894947052,0.99572479724884,26.984395980835,0.177417367696762,30,4,200,0.00111745798494667,-4.44967794418335,0.275104939937592,1,,,,,,,,,,,,,,,,
,3930457504.87524,2.72717201709747,49.981502532959,,,6,,,,26.9884978699917,,,1,,,,,,,,,,,,,,,,,,,,,,2.65527153015137,2.79579377174377,49.981502532959,49.981502532959,,,3.4755802154541,,1,0,0,0,0.013885498046875,27.8592376708984,6,1,1,2.79907250404358,0,2084574624,2.72395951747894,,,0.00101178859965952,5.04639537527526E-5,0.00101178943945922,5.0463959040939E-5,0.995453178882599,0.995615601539612,26.9839401245117,0,30,4,200,0.00116565520875156,-4.48535394668579,0.287636876106262,1,,,,,,,,,,,,,,,,
,3930457514.99481,2.87761580944061,49.981502532959,,,6,,,,26.9884978699917,,,1,,,,,,,,,,,,,,,,,,,,,,2.8046236038208,2.94351649284363,49.981502532959,49.981502532959,,,3.55526614189148,,1,0,0,0,0.013885498046875,27.8592376708984,6,1,1,2.95060801506042,0,2084574272,2.87123949527741,,,0.00102294631995848,5.1020477007403E-5,0.00102294728318299,5.10204766758466E-5,0.995331048965454,0.995538711547852,26.9832878112793,3.4909405708313,30,4,200,0.0012576375156641,-4.52443075180054,0.301669597625732,1,,,,,,,,,,,,,,,,
,3930457525.25506,3.02642285823822,49.981502532959,,,6,,,,26.9884978699917,,,1,,,,,,,,,,,,,,,,,,,,,,2.95191311836243,3.09182834625244,49.981502532959,49.981502532959,,,3.63743448257446,,1,0,0,0,0.013885498046875,27.8592376708984,6,1,1,3.10093259811401,0,2084574400,3.02056293487549,,,0.00103469387902206,5.16064397688065E-5,0.00103469502334516,5.16064380818413E-5,0.995196104049683,0.995439291000366,26.9827880859375,,30,4,200,0.00130769843235612,-4.56599473953247,0.316678792238235,1,,,,,,,,,,,,,,,,
