[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3930468371.14175,07/18/2024,12:45 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 419, MultiVu Release 2.3.4.15,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 F0,MOTOR_HW_VERSION
INFO,MMC1118,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM313,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB345,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC210,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI318,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,ML_Barksdale_20240705_1_MRG128B_q(cs)=7_q(cu)=0.1_no_peroxide_ony_H20_20.0mg_ZFC_FC_MvT_10000oe,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,14.5,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,68.54,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3930469927.51134,1.79935491085052,49.9937515258789,,,3,,,,26.9466075897217,,,,,,,,,,,,,,,,,,,,,,,,,1.79935491085052,1.79935491085052,49.9937515258789,49.9937515258789,,,2.73728823661804,,0,,,,,,1,1,1,1.79935491085052,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3930469945.07233,1.80064076185226,49.9937515258789,,,6,,,,26.9466075897217,,,1,,,,,,,,,,,,,,,,,,,,,,1.79894757270813,1.80076026916504,49.9937515258789,49.9937515258789,,,2.70313453674316,,1,0,0,0,0.013885498046875,28.3479976654053,1,1,1,1.80052125453949,0,2084574432,1.80003145933151,,,0.000943702379367198,4.70680663810793E-5,0.000943702379454364,4.70680663824969E-5,0.995485961437225,0.995485961437225,26.9466495513916,INF,30,4,200,0.000346266810083762,-4.08479642868042,0.355718314647675,1,,,,,,,,,,,,,,,,
,3930469961.96702,1.92167580127716,49.9937515258789,,,6,,,,26.9466075897217,,,1,,,,,,,,,,,,,,,,,,,,,,1.85663259029388,1.98306107521057,49.9937515258789,49.9937515258789,,,2.83423638343811,,1,0,0,0,0.013885498046875,28.8367557525635,6,1,1,1.98671901226044,0,2084574272,1.91552032232285,,,0.000935957957287439,4.66819297648506E-5,0.000935957954040447,4.66819294331155E-5,0.994961678981781,0.994962453842163,26.9462852478027,INF,30,4,200,-0.000505177653394639,-4.0651068687439,0.349881172180176,1,,,,,,,,,,,,,,,,
,3930469971.9229,2.06026214361191,49.9937515258789,,,6,,,,26.9466075897217,,,1,,,,,,,,,,,,,,,,,,,,,,1.99278056621552,2.12235569953918,49.9937515258789,49.9937515258789,,,2.92921090126038,,1,0,0,0,0.013885498046875,28.3479976654053,6,1,1,2.1277437210083,0,2084574528,2.05403364896774,,,0.000930421121830449,4.64057099701047E-5,0.000930421118666931,4.64057097518414E-5,0.995318412780762,0.995318651199341,26.9464149475098,INF,30,4,200,-0.000194662730791606,-4.04413604736328,0.339506030082703,1,,,,,,,,,,,,,,,,
,3930469981.77094,2.19714558124542,49.9937515258789,,,6,,,,26.9466075897217,,,1,,,,,,,,,,,,,,,,,,,,,,2.1277437210083,2.26069498062134,49.9937515258789,49.9937515258789,,,3.02039337158203,,1,0,0,0,0.013885498046875,28.3479976654053,6,1,1,2.26654744148254,0,2084574336,2.1919691324234,,,0.000927626719313369,4.6266300451112E-5,0.000927626717566075,4.62663002465119E-5,0.995413362979889,0.995413959026337,26.9463386535645,INF,30,4,200,-1.21683260658756E-5,-4.03388214111328,0.333834320306778,1,,,,,,,,,,,,,,,,
,3930469991.57739,2.33677077293396,49.9937515258789,,,6,,,,26.9466075897217,,,1,,,,,,,,,,,,,,,,,,,,,,2.26939558982849,2.39130759239197,49.9937515258789,49.9937515258789,,,3.10707569122314,,1,0,0,0,0.013885498046875,28.3479976654053,6,1,1,2.40414595603943,0,2084574304,2.33063089847565,,,0.000926228946733177,4.61965906035286E-5,0.000926228942716517,4.61965902129281E-5,0.995431661605835,0.995432555675507,26.9462642669678,0,30,4,200,0.000127036633784883,-4.0291576385498,0.330590605735779,1,,,,,,,,,,,,,,,,
,3930470010.00918,2.5904815196991,49.9937515258789,,,6,,,,26.9516608379761,,,1,,,,,,,,,,,,,,,,,,,,,,2.52366924285889,2.65412664413452,49.9937515258789,49.9937515258789,,,3.25292658805847,,1,0,0,0,0.013885498046875,28.3479976654053,6,1,1,2.65729379653931,0,2084574624,2.58581449985504,,,0.000925743412940792,4.61724207479367E-5,0.000925744530593594,4.6172424122078E-5,0.995185017585754,0.995426654815674,26.9459667205811,5.19095039367676,30,4,200,0.000205581513000652,-4.02775812149048,0.328324168920517,1,,,,,,,,,,,,,,,,
,3930470019.89806,2.73089730739594,49.9937515258789,,,6,,,,26.9516608379761,,,1,,,,,,,,,,,,,,,,,,,,,,2.65729379653931,2.79886150360107,49.9937515258789,49.9937515258789,,,3.33441638946533,,1,0,0,0,0.013885498046875,28.3479976654053,6,1,1,2.80156207084656,0,2084574432,2.72615778446198,,,0.000926144133880565,4.61924113256617E-5,0.000926145207358656,4.61924134701485E-5,0.99518358707428,0.995420396327972,26.9460201263428,0,30,4,200,0.000260016793617979,-4.03006172180176,0.32783779501915,1,,,,,,,,,,,,,,,,
,3930470029.84364,2.8734757900238,49.9937515258789,,,6,,,,26.9516608379761,,,1,,,,,,,,,,,,,,,,,,,,,,2.80486273765564,2.94222784042358,49.9937515258789,49.9937515258789,,,3.41079711914063,,1,0,0,0,0.013885498046875,27.8592376708984,6,1,1,2.94538950920105,0,2084574400,2.87083075046539,,,0.000927019180772945,4.62360619507399E-5,0.000927020242609514,4.62360608985688E-5,0.995166897773743,0.995414972305298,26.9458808898926,5.41724784852704E-6,30,4,200,0.000269851443590596,-4.03401947021484,0.328125804662704,1,,,,,,,,,,,,,,,,
,3930470039.69341,3.01858568191528,49.9937515258789,,,6,,,,26.9516608379761,,,1,,,,,,,,,,,,,,,,,,,,,,2.94538950920105,3.08184170722961,49.9937515258789,49.9937515258789,,,3.48399519920349,,1,0,0,0,0.013885498046875,28.3479976654053,6,1,1,3.09178185462952,0,2084574496,3.01393527984619,,,0.00092828908589362,4.6299389795682E-5,0.000928290292118598,4.62993943108721E-5,0.995157063007355,0.995411932468414,26.9457988739014,INF,30,4,200,0.000340259342920035,-4.03955841064453,0.329370617866516,1,,,,,,,,,,,,,,,,
,3930470049.51488,3.16432893276215,49.9937515258789,,,6,,,,26.9516608379761,,,1,,,,,,,,,,,,,,,,,,,,,,3.09495162963867,3.23370623588562,49.9937515258789,49.9937515258789,,,3.5545928478241,,1,0,0,0,0.013885498046875,28.3479976654053,6,1,1,3.23370623588562,0,2084574688,3.15870003700256,,,0.000929846647222174,4.6377067053979E-5,0.000929847835193903,4.63770707609031E-5,0.995157837867737,0.995411872863769,26.9458084106445,INF,30,4,200,0.00037644401891157,-4.04550647735596,0.330857127904892,1,,,,,,,,,,,,,,,,
,3930470059.31731,3.31026721000671,49.9937515258789,,,6,,,,26.9516608379761,,,1,,,,,,,,,,,,,,,,,,,,,,3.23886513710022,3.37436270713806,49.9937515258789,49.9937515258789,,,3.62264204025269,,1,0,0,0,0.013885498046875,27.8592376708984,6,1,1,3.38166928291321,0,2084574336,3.30309343338013,,,0.000931644912095895,4.64667774701912E-5,0.000931646113103585,4.64667795712588E-5,0.995134174823761,0.995396852493286,26.9456977844238,INF,30,4,200,0.000428054860094562,-4.05220508575439,0.332965970039368,1,,,,,,,,,,,,,,,,
