[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3931579834.68187,07/31/2024,9:30 am
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 419, MultiVu Release 2.3.4.15,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 F0,MOTOR_HW_VERSION
INFO,MMC1118,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM313,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB345,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC210,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI318,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,ML_20240717_7_QHS_0-QHS1063G_SmBa0p9K0p1CuBO5_DC-8p1mg_MvT_50oe_20240731,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,8.1,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,66.21,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3931581365.1482,1.7993141412735,49.9325294494629,,,3,,,,23.948938369751,,,,,,,,,,,,,,,,,,,,,,,,,1.7993141412735,1.7993141412735,49.9325294494629,49.9325294494629,,,2.70980930328369,,0,,,,,,5,1,1,1.7993141412735,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3931581393.46835,1.80036616325378,49.9325294494629,,,6,,,,23.948938369751,,,1,,,,,,,,,,,,,,,,,,,,,,1.79870903491974,1.80080485343933,49.9325294494629,49.9325294494629,,,2.66786003112793,,1,0,0,0,0.0145721435546875,28.3479976654053,1,1,1,1.80002069473267,0,2084574528,1.79999693632126,,,2.88869503661997E-5,1.43026022238249E-6,2.88869559498883E-5,1.43026032642181E-6,0.985843956470489,0.985852479934692,23.9508037567139,0,30,4,200,0.0001097119456972,0.13664698600769,0.272631704807282,1,,,,,,,,,,,,,,,,
,3931581410.51076,1.91800493001938,49.9325294494629,,,6,,,,23.948938369751,,,1,,,,,,,,,,,,,,,,,,,,,,1.85137343406677,1.97785305976868,49.9325294494629,49.9325294494629,,,2.79901766777039,,1,0,0,0,0.0145721435546875,28.3479976654053,6,1,1,1.98463642597198,0,2084574656,1.91207679510117,,,2.77985332312587E-5,1.37649899851819E-6,2.77985327685432E-5,1.37649897293161E-6,0.980332732200623,0.980332851409912,23.9487018585205,0.187446758151054,30,4,200,-0.00019495768356137,0.139156863093376,0.271860986948013,1,,,,,,,,,,,,,,,,
,3931581420.37747,2.0505730509758,49.9325294494629,,,6,,,,23.948938369751,,,1,,,,,,,,,,,,,,,,,,,,,,1.98463642597198,2.11650967597961,49.9325294494629,49.9325294494629,,,2.89445352554321,,1,0,0,0,0.0145721435546875,27.8592376708984,6,1,1,2.11650967597961,0,2084574528,2.04889160394669,,,2.65191906262652E-5,1.3131215682944E-6,2.65191920489832E-5,1.31312161749283E-6,0.981442987918854,0.981443822383881,23.9496212005615,4.89383506774902,30,4,200,-0.000160137526108883,0.142868295311928,0.269124776124954,1,,,,,,,,,,,,,,,,
,3931581438.81674,2.31356155872345,49.9325294494629,,,6,,,,23.9540057786846,,,1,,,,,,,,,,,,,,,,,,,,,,2.24537301063538,2.37712001800537,49.9325294494629,49.9325294494629,,,3.05838894844055,,1,0,0,0,0.0145721435546875,28.3479976654053,6,1,1,2.38175010681152,0,2084574528,2.30799188613892,,,2.44015237850229E-5,1.20826338903329E-6,2.44015509094864E-5,1.20826303227502E-6,0.981448829174042,0.98152482509613,23.9476318359375,0,30,4,200,-0.000142159362439997,0.14899505674839,0.26517978310585,1,,,,,,,,,,,,,,,,
,3931581448.86953,2.45240998268127,49.9325294494629,,,6,,,,23.9540057786846,,,1,,,,,,,,,,,,,,,,,,,,,,2.38175010681152,2.5132155418396,49.9325294494629,49.9325294494629,,,3.14682030677795,,1,0,0,0,0.0146484375,28.3479976654053,6,1,1,2.52306985855103,0,2084574496,2.4487681388855,,,2.32971883070985E-5,1.15357371575642E-6,2.32972189848234E-5,1.15357347548581E-6,0.981817126274109,0.981901168823242,23.9473705291748,0,30,4,200,-0.000129899257444777,0.152209922671318,0.26308012008667,1,,,,,,,,,,,,,,,,
,3931581458.91287,2.59388852119446,49.9325294494629,,,6,,,,23.9540057786846,,,1,,,,,,,,,,,,,,,,,,,,,,2.52573657035828,2.65553164482117,49.9325294494629,49.9325294494629,,,3.22814106941223,,1,0,0,0,0.0145721435546875,28.3479976654053,6,1,1,2.66204047203064,0,2084574560,2.59009068012238,,,2.23020229595401E-5,1.10431335792753E-6,2.230206343822E-5,1.10431312899017E-6,0.981031239032745,0.981138110160828,23.9463634490967,0,30,4,200,-0.000138441231683828,0.155219778418541,0.261439770460129,1,,,,,,,,,,,,,,,,
,3931581468.70639,2.73294258117676,49.9325294494629,,,6,,,,23.9540057786846,,,1,,,,,,,,,,,,,,,,,,,,,,2.66204047203064,2.79505085945129,49.9325294494629,49.9325294494629,,,3.30562210083008,,1,0,0,0,0.0145721435546875,27.8592376708984,6,1,1,2.80384469032288,0,2084574592,2.72891180515289,,,2.13404283285304E-5,1.05669592149857E-6,2.13404808083451E-5,1.05669546450972E-6,0.981177985668182,0.981332182884216,23.9448680877686,0,30,4,200,-0.000115410555736162,0.158087491989136,0.259700119495392,1,,,,,,,,,,,,,,,,
,3931581478.59435,2.87590169906616,49.9325294494629,,,6,,,,23.9540057786846,,,1,,,,,,,,,,,,,,,,,,,,,,2.80384469032288,2.9377977848053,49.9325294494629,49.9325294494629,,,3.38136315345764,,1,0,0,0,0.0145721435546875,26.881721496582,6,1,1,2.94795870780945,0,2084574560,2.8699816942215,,,2.0425557252733E-5,1.01139638537753E-6,2.04256247511517E-5,1.01139618792223E-6,0.981102287769318,0.981288313865662,23.9439544677734,0,30,4,200,-0.000104452432424296,0.160749077796936,0.258018553256989,1,,,,,,,,,,,,,,,,
,3931581488.59742,3.0224883556366,49.9325294494629,,,6,,,,23.9540057786846,,,1,,,,,,,,,,,,,,,,,,,,,,2.95221948623657,3.08643341064453,49.9325294494629,49.9325294494629,,,3.45630645751953,,1,0,0,0,0.0146484375,27.8592376708984,6,1,1,3.09275722503662,0,2084574496,3.01822600364685,,,1.95497356237107E-5,9.68030234138134E-7,1.95498189714096E-5,9.68029590387251E-7,0.98104053735733,0.981302201747894,23.9420757293701,0,30,4,200,-9.78392708930187E-5,0.16342169046402,0.256458848714828,1,,,,,,,,,,,,,,,,
