[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3930846121.42156,07/22/2024,9:41 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 419, MultiVu Release 2.3.4.15,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 F0,MOTOR_HW_VERSION
INFO,MMC1118,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM313,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB345,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC210,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI318,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,ML_Benchtop_20240717_1_QHS_0-QHS1063A_SmBa0p7Sr0p2K0p1CuBO5_DC-FILTERPAPER_MvT_50oe_20240722,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,65.97,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3930847652.75716,1.79953670501709,49.981502532959,,,3,,,,24.5820808410645,,,,,,,,,,,,,,,,,,,,,,,,,1.79953670501709,1.79953670501709,49.981502532959,49.981502532959,,,2.71899962425232,,0,,,,,,5,1,1,1.79953670501709,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3930847681.22844,1.80022114515305,49.981502532959,,,6,,,,24.5820808410645,,,1,,,,,,,,,,,,,,,,,,,,,,1.79873144626617,1.80068922042847,49.981502532959,49.981502532959,,,2.67518496513367,,1,0,0,0,0.013885498046875,27.8592376708984,1,1,1,1.80017483234406,0,2084574528,1.79997053146362,,,0.000117988773447946,5.88481218962743E-6,0.00011798877898676,5.88481237075401E-6,0.995203197002411,0.995206594467163,24.5827617645264,0,30,4,200,0.000116243165393826,-0.541518092155457,0.0142348734661937,1,,,,,,,,,,,,,,,,
,3930847698.21846,1.91972130537033,49.981502532959,,,6,,,,24.5820808410645,,,1,,,,,,,,,,,,,,,,,,,,,,1.85433948040009,1.97861647605896,49.981502532959,49.981502532959,,,2.80523562431335,,1,0,0,0,0.013885498046875,27.8592376708984,6,1,1,1.98510313034058,0,2084574336,1.91375998258591,,,0.000115378528722676,5.75481910369466E-6,0.000115378533230845,5.75481926552523E-6,0.990483462810516,0.990484595298767,24.5826416015625,5.29673767089844,30,4,200,-0.000394132803194225,-0.53581029176712,0.0124179786071181,1,,,,,,,,,,,,,,,,
,3930847708.53249,2.05839735269546,49.981502532959,,,6,,,,24.5820808410645,,,1,,,,,,,,,,,,,,,,,,,,,,1.9911116361618,2.12568306922913,49.981502532959,49.981502532959,,,2.90424299240112,,1,0,0,0,0.013885498046875,28.3479976654053,6,1,1,2.12568306922913,0,2084574560,2.05753506422043,,,0.000111916216569738,5.58210294559111E-6,0.000111916216141976,5.58210292072348E-6,0.990954637527466,0.990954697132111,24.5819454193115,0,30,4,200,-0.000356375414412469,-0.524681091308594,0.0067873802036047,1,,,,,,,,,,,,,,,,
,3930847727.11625,2.31737041473389,49.981502532959,,,6,,,,24.5870929857162,,,1,,,,,,,,,,,,,,,,,,,,,,2.25307750701904,2.36493277549744,49.981502532959,49.981502532959,,,3.06365466117859,,1,0,0,0,0.013885498046875,28.8367557525635,6,1,1,2.38166332244873,0,2084574400,2.30500176217821,,,0.000106310887491544,5.30250780902108E-6,0.000106311030546287,5.30250674432082E-6,0.991269052028656,0.991447985172272,24.5804386138916,0,30,4,200,-0.000284913869109005,-0.506692409515381,-0.00228992034681141,1,,,,,,,,,,,,,,,,
,3930847737.00277,2.45294225215912,49.981502532959,,,6,,,,24.5870929857162,,,1,,,,,,,,,,,,,,,,,,,,,,2.3850371837616,2.51835680007935,49.981502532959,49.981502532959,,,3.15152978897095,,1,0,0,0,0.013885498046875,27.8592376708984,6,1,1,2.52084732055664,0,2084574432,2.44893357753754,,,0.000103664345750744,5.17050743573683E-6,0.000103664541620474,5.17050626037544E-6,0.99123352766037,0.991478383541107,24.579309463501,0,30,4,200,-0.000281299202470109,-0.498398393392563,-0.00651482446119189,1,,,,,,,,,,,,,,,,
,3930847746.87139,2.59266793727875,49.981502532959,,,6,,,,24.5870929857162,,,1,,,,,,,,,,,,,,,,,,,,,,2.52084732055664,2.65300273895264,49.981502532959,49.981502532959,,,3.23425912857056,,1,0,0,0,0.013885498046875,28.3479976654053,6,1,1,2.66448855400085,0,2084574336,2.58706877231598,,,0.000101120068355047,5.04360296363216E-6,0.000101120304392267,5.04360180995122E-6,0.991233170032501,0.991530537605286,24.5785274505615,0,30,4,200,-0.000258991465670988,-0.490301638841629,-0.0105290887877345,1,,,,,,,,,,,,,,,,
,3930847756.68846,2.73339259624481,49.981502532959,,,6,,,,24.5870929857162,,,1,,,,,,,,,,,,,,,,,,,,,,2.66448855400085,2.80229663848877,49.981502532959,49.981502532959,,,3.31316876411438,,1,0,0,0,0.013885498046875,28.3479976654053,6,1,1,2.80229663848877,0,2084574464,2.73146104812622,,,9.8794306032106E-5,4.92758431666295E-6,9.87945798855832E-5,4.92758302292829E-6,0.991665542125702,0.992037892341614,24.5777721405029,5.29715442657471,30,4,200,-0.000237824162468314,-0.482602536678314,-0.0142656872048974,1,,,,,,,,,,,,,,,,
,3930847766.51667,2.87716948986053,49.981502532959,,,6,,,,24.5870929857162,,,1,,,,,,,,,,,,,,,,,,,,,,2.80639266967773,2.94568657875061,49.981502532959,49.981502532959,,,3.38876175880432,,1,0,0,0,0.013885498046875,28.3479976654053,6,1,1,2.94794631004334,0,2084574336,2.87332575321198,,,9.67069867288653E-5,4.82346804290987E-6,9.67073284828848E-5,4.82346677785719E-6,0.99180281162262,0.992279767990112,24.5766677856445,0,30,4,200,-0.000219508350710385,-0.476074069738388,-0.0176799315959215,1,,,,,,,,,,,,,,,,
,3930847776.44258,3.02217280864716,49.981502532959,,,6,,,,24.5870929857162,,,1,,,,,,,,,,,,,,,,,,,,,,2.95296239852905,3.09138321876526,49.981502532959,49.981502532959,,,3.46307373046875,,1,0,0,0,0.013885498046875,28.3479976654053,6,1,1,3.09138321876526,0,2084574304,3.01834790706634,,,9.47494239421752E-5,4.7258236368816E-6,9.47498586873558E-5,4.72582305396185E-6,0.992006182670593,0.992619037628174,24.5754795074463,0,30,4,200,-0.000210165424505249,-0.469702661037445,-0.0208810977637768,1,,,,,,,,,,,,,,,,
