[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3927452192.90958,06/13/2024,2:56 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 419, MultiVu Release 2.3.4.15,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 F0,MOTOR_HW_VERSION
INFO,MMC1118,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM313,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB345,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC210,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI318,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,ML_Namond_20240606_2_QHS_0-QHS1007B_SmBaCuBO5_DC-13p3mg_powder_MvT_50oe_20240613.dat,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,11.9,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,66.73,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3927453695.9864,1.79823410511017,49.8223266601562,,,3,,,,25.6997623443604,,,,,,,,,,,,,,,,,,,,,,,,,1.79823410511017,1.79823410511017,49.8223266601562,49.8223266601562,,,2.76428079605103,,0,,,,,,5,1,1,1.79823410511017,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3927453723.20127,1.80006927251816,49.8223266601562,,,6,,,,25.6997623443604,,,1,,,,,,,,,,,,,,,,,,,,,,1.79866921901703,1.80060350894928,49.8223266601562,49.8223266601562,,,2.72913408279419,,1,0,0,0,0.013885498046875,28.8367557525635,1,1,1,1.80004358291626,0,4232058048,1.79994862609439,,,1.34094557395214E-5,6.68891107507999E-7,1.34094743054919E-5,6.68891170395681E-7,0.983768999576569,0.983848690986633,25.7058658599854,0,30,4,200,7.49057435314171E-5,-0.494617819786072,-0.431037336587906,1,,,,,,,,,,,,,,,,
,3927453740.55316,1.91898971796036,49.8223266601562,,,6,,,,25.6997623443604,,,1,,,,,,,,,,,,,,,,,,,,,,1.85068786144257,1.97102403640747,49.8223266601562,49.8223266601562,,,2.86479830741882,,1,0,0,0,0.013885498046875,28.8367557525635,6,1,1,1.98729157447815,0,4232058048,1.90946933958266,,,1.32164187478828E-5,6.5928170077138E-7,1.32164548203247E-5,6.59281833868829E-7,0.981999635696411,0.98214054107666,25.7083034515381,0,30,4,200,-0.000138111819978803,-0.494252473115921,-0.431425780057907,1,,,,,,,,,,,,,,,,
,3927453751.11756,2.0630134344101,49.8223266601562,,,6,,,,25.6997623443604,,,1,,,,,,,,,,,,,,,,,,,,,,1.99027729034424,2.13008046150208,49.8223266601562,49.8223266601562,,,2.96940016746521,,1,0,0,0,0.013885498046875,29.3255138397217,6,1,1,2.13574957847595,0,4232057952,2.05915277004242,,,1.29149276185638E-5,6.44234599018932E-7,1.29149373842986E-5,6.44234596639167E-7,0.982681095600128,0.982724964618683,25.7044448852539,0,30,4,200,-0.000121696328278631,-0.494375109672546,-0.433015793561935,1,,,,,,,,,,,,,,,,
,3927453761.75127,2.20876634120941,49.8223266601562,,,6,,,,25.6997623443604,,,1,,,,,,,,,,,,,,,,,,,,,,2.13639307022095,2.26662635803223,49.8223266601562,49.8223266601562,,,3.0649881362915,,1,0,0,0,0.013885498046875,28.8367557525635,6,1,1,2.27677750587463,0,4232058112,2.20117027759552,,,1.26127456143265E-5,6.29157966578965E-7,1.2612757122018E-5,6.291579887331E-7,0.982950091361999,0.983001589775085,25.7047939300537,0,30,4,200,-0.000119377837108914,-0.494087398052216,-0.434216767549515,1,,,,,,,,,,,,,,,,
,3927453772.20602,2.35194265842438,49.8223266601562,,,6,,,,25.6997623443604,,,1,,,,,,,,,,,,,,,,,,,,,,2.27983975410461,2.4060697555542,49.8223266601562,49.8223266601562,,,3.15788507461548,,1,0,0,0,0.013885498046875,29.8142719268799,6,1,1,2.42676019668579,0,4232057888,2.34083477656047,,,1.23178343065427E-5,6.1444308676835E-7,1.23178383336035E-5,6.14443101984596E-7,0.983356833457947,0.983375012874603,25.7027149200439,0.188803061842918,30,4,200,-0.000106033046904486,-0.493904232978821,-0.435429751873016,1,,,,,,,,,,,,,,,,
,3927453791.51666,2.63019835948944,49.8223266601562,,,6,,,,25.7047851246601,,,1,,,,,,,,,,,,,,,,,,,,,,2.55685019493103,2.70153975486755,49.8223266601562,49.8223266601562,,,3.32018423080444,,1,0,0,0,0.013885498046875,29.8142719268799,6,1,1,2.70354652404785,0,4232058016,2.62653365135193,,,1.18053396562383E-5,5.88875971729362E-7,1.18053457538222E-5,5.88875978908411E-7,0.983622133731842,0.983652949333191,25.7009716033936,3.5215518437326E-5,30,4,200,-8.74557154020295E-5,-0.493552535772324,-0.43755891919136,1,,,,,,,,,,,,,,,,
,3927453801.96939,2.77909827232361,49.8223266601562,,,6,,,,25.7047851246601,,,1,,,,,,,,,,,,,,,,,,,,,,2.70826935768127,2.84992718696594,49.8223266601562,49.8223266601562,,,3.40512752532959,,1,0,0,0,0.013885498046875,28.8367557525635,6,1,1,2.84992718696594,0,4232058016,2.77534034252167,,,1.15498198318409E-5,5.76129053739112E-7,1.15498326254524E-5,5.76129043019957E-7,0.983714520931244,0.983783781528473,25.6990871429443,0,30,4,200,-7.73293431848288E-5,-0.493216544389725,-0.43845409154892,1,,,,,,,,,,,,,,,,
,3927453812.50031,2.93132996559143,49.8223266601562,,,6,,,,25.7047851246601,,,1,,,,,,,,,,,,,,,,,,,,,,2.85837173461914,2.99778914451599,49.8223266601562,49.8223266601562,,,3.48711776733398,,1,0,0,0,0.013885498046875,28.8367557525635,6,1,1,3.00985503196716,0,4232058080,2.92821040153503,,,1.13166017671254E-5,5.64491028347733E-7,1.13166106738661E-5,5.64491025897244E-7,0.984226047992706,0.984276294708252,25.700008392334,,30,4,200,-6.77041098242626E-5,-0.493174076080322,-0.439381867647171,1,,,,,,,,,,,,,,,,
,3927453822.94367,3.08008277416229,49.8223266601562,,,6,,,,25.7047851246601,,,1,,,,,,,,,,,,,,,,,,,,,,3.01237154006958,3.14096975326538,49.8223266601562,49.8223266601562,,,3.55915355682373,,1,0,0,0,0.013885498046875,31.7693061828613,6,1,1,3.147794008255,0,4232057984,3.07618858814239,,,1.11074180155046E-5,5.54046115118531E-7,1.11074701953333E-5,5.54046288201465E-7,0.985473811626434,0.985778868198395,25.6935443878174,0.0387679673731327,30,4,200,-7.0531910751015E-5,-0.492851942777634,-0.440290421247482,1,,,,,,,,,,,,,,,,
