[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3927535850.73736,06/14/2024,2:10 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 419, MultiVu Release 2.3.4.15,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 F0,MOTOR_HW_VERSION
INFO,MMC1118,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM313,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB345,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC210,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI318,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,ML_Dukie_20240612_2_QHS_0-QHS1014B_SmBa0p8K0p2CuBO5_DC-10p5mg_MvT_50oe_20240614.dat,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,10.5,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,65.5,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3927537365.47741,1.79077279567718,49.8835487365723,,,3,,,,24.9265327453613,,,,,,,,,,,,,,,,,,,,,,,,,1.79077279567718,1.79077279567718,49.8835487365723,49.8835487365723,,,2.73727416992187,,0,,,,,,6,1,1,1.79077279567718,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3927537433.64467,1.7977077960968,49.8835487365723,,,6,,,,24.9265327453613,,,1,,,,,,,,,,,,,,,,,,,,,,1.79566335678101,1.80436754226685,49.8835487365723,49.8835487365723,,,2.67638683319092,,1,0,0,0,0.000152587890625,29.3255138397217,1,1,1,1.7954957485199,0,4232058080,1.79996370077133,,,5.22082720731874E-5,2.60546279496074E-6,5.22082782997017E-5,2.60546294204037E-6,0.96549528837204,0.965497076511383,24.9278602600098,0,30,4,200,6.2385035562329E-5,-0.185362383723259,0.063604898750782,1,,,,,,,,,,,,,,,,
,3927537451.63962,1.93455213308334,49.8835487365723,,,6,,,,24.9265327453613,,,1,,,,,,,,,,,,,,,,,,,,,,1.86412465572357,1.99634385108948,49.8835487365723,49.8835487365723,,,2.82580995559692,,1,0,0,0,0.00030517578125,28.8367557525635,6,1,1,2.00497961044312,0,4232058176,1.92335950136185,,,5.00718834494183E-5,2.49899639830131E-6,5.00718848153631E-5,2.49899644980666E-6,0.963792026042938,0.963792204856873,24.926965713501,0,30,4,200,-0.000360040809027851,-0.180905878543854,0.0610861331224441,1,,,,,,,,,,,,,,,,
,3927537462.19591,2.07689690589905,49.8835487365723,,,6,,,,24.9265327453613,,,1,,,,,,,,,,,,,,,,,,,,,,2.00528359413147,2.13574147224426,49.8835487365723,49.8835487365723,,,2.92638230323791,,1,0,0,0,0.0003814697265625,28.8367557525635,6,1,1,2.14851021766663,0,4232057984,2.06937064443316,,,4.79030718673402E-5,2.39075380661645E-6,4.7903077540718E-5,2.39075395021636E-6,0.963815987110138,0.963817596435547,24.9278125762939,0,30,4,200,-0.000318030477501452,-0.174670904874802,0.0565331839025021,1,,,,,,,,,,,,,,,,
,3927537481.6012,2.35290169715881,49.8835487365723,,,6,,,,24.9316027314836,,,1,,,,,,,,,,,,,,,,,,,,,,2.27888154983521,2.40700387954712,49.8835487365723,49.8835487365723,,,3.10209441184998,,1,0,0,0,0,29.3255138397217,6,1,1,2.42692184448242,0,4232058144,2.34008591175079,,,4.40744890512384E-5,2.19971226503673E-6,4.40745189313333E-5,2.19971210781635E-6,0.963362753391266,0.963383197784424,24.9270172119141,0,30,4,200,-0.000282852532109246,-0.163796171545982,0.049035120755434,1,,,,,,,,,,,,,,,,
,3927537492.44258,2.49153745174408,49.8835487365723,,,6,,,,24.9316027314836,,,1,,,,,,,,,,,,,,,,,,,,,,2.42740631103516,2.54639363288879,49.8835487365723,49.8835487365723,,,3.18405652046204,,1,0,0,0,0.0002288818359375,29.3255138397217,6,1,1,2.555668592453,0,4232058048,2.48982734680176,,,4.2207855206098E-5,2.1064843335195E-6,4.22078778547567E-5,2.10648411796436E-6,0.964231550693512,0.9642493724823,24.9273681640625,0,30,4,200,-0.00023684385814704,-0.158107653260231,0.0453288480639458,1,,,,,,,,,,,,,,,,
,3927537503.42394,2.63399577140808,49.8835487365723,,,6,,,,24.9316027314836,,,1,,,,,,,,,,,,,,,,,,,,,,2.55902314186096,2.69820189476013,49.8835487365723,49.8835487365723,,,3.26996636390686,,1,0,0,0,0.0205230712890625,29.3255138397217,6,1,1,2.7089684009552,0,4232058144,2.63077909946442,,,4.0374966813571E-5,2.01506961768993E-6,4.03749905476294E-5,2.01506947635777E-6,0.963411927223206,0.963429868221283,24.9273052215576,0,30,4,200,-0.000238505308516324,-0.152615994215012,0.0424497798085213,1,,,,,,,,,,,,,,,,
,3927537513.9759,2.77914071083069,49.8835487365723,,,6,,,,24.9316027314836,,,1,,,,,,,,,,,,,,,,,,,,,,2.70946502685547,2.84215021133423,49.8835487365723,49.8835487365723,,,3.34632205963135,,1,0,0,0,0.013885498046875,29.3255138397217,6,1,1,2.84881639480591,0,4232058208,2.77641634941101,,,3.86294445260068E-5,1.92796962212017E-6,3.86294654747151E-5,1.92796951581305E-6,0.963168859481812,0.96318507194519,24.9275093078613,0,30,4,200,-0.000208319455850869,-0.147410839796066,0.0392006784677505,1,,,,,,,,,,,,,,,,
,3927537524.62618,2.91789555549622,49.8835487365723,,,6,,,,24.9316027314836,,,1,,,,,,,,,,,,,,,,,,,,,,2.85158014297485,2.9653217792511,49.8835487365723,49.8835487365723,,,3.41543292999268,,1,0,0,0,0.0183868408203125,28.3479976654053,6,1,1,2.98421096801758,0,4232057984,2.90749176343282,,,3.70640045493484E-5,1.84979226281487E-6,3.7064038436987E-5,1.84979211413888E-6,0.963869154453278,0.963896691799164,24.9263191223145,0,30,4,200,-0.000181661627721041,-0.142752543091774,0.0361768268048763,1,,,,,,,,,,,,,,,,
,3927537535.21601,3.06034111976624,49.8835487365723,,,6,,,,24.9316027314836,,,1,,,,,,,,,,,,,,,,,,,,,,2.98523902893066,3.11439728736877,49.8835487365723,49.8835487365723,,,3.48851537704468,,1,0,0,0,0.0180816650390625,29.3255138397217,6,1,1,3.13544321060181,0,4232058048,3.04836387104458,,,3.55562492703804E-5,1.77456673676867E-6,3.55562912170277E-5,1.77456679202576E-6,0.963501632213593,0.963533103466034,24.9259262084961,0,30,4,200,-0.00018252654990647,-0.138332366943359,0.0335543677210808,1,,,,,,,,,,,,,,,,
