[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3926934265.55116,06/07/2024,3:04 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 419, MultiVu Release 2.3.4.15,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 F0,MOTOR_HW_VERSION
INFO,MMC1118,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM313,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB345,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC210,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI318,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,ML_Namond_20240605_4_QHS_0-QHS1007D_Sm0p8Ca0p2BaCuBO5_DC-11p5mg_powder_MvT_50oe_20240607,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,65.49,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3926935798.34794,1.79598486423492,49.8468170166016,,,3,,,,26.0534400939941,,,,,,,,,,,,,,,,,,,,,,,,,1.79598486423492,1.79598486423492,49.8468170166016,49.8468170166016,,,2.40280508995056,,0,,,,,,5,1,1,1.79598486423492,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3926935838.97185,1.79835617542267,49.8468170166016,,,6,,,,26.0534400939941,,,1,,,,,,,,,,,,,,,,,,,,,,1.79656791687012,1.80232763290405,49.8468170166016,49.8468170166016,,,2.36020493507385,,1,0,0,0,0.0002288818359375,29.8142719268799,1,1,1,1.79712820053101,0,4232058400,1.79996864795685,,,7.18958206011571E-6,3.5866816766883E-7,7.18958446337751E-6,3.58668180733694E-7,0.978304028511047,0.978317737579346,26.0505123138428,1.77673689449875E-6,30,4,200,7.23965204088017E-5,-0.541538059711456,-0.506898999214172,1,,,,,,,,,,,,,,,,
,3926935857.22669,1.93372988700867,49.8468170166016,,,6,,,,26.0534400939941,,,1,,,,,,,,,,,,,,,,,,,,,,1.86238408088684,1.99501836299896,49.8468170166016,49.8468170166016,,,2.48849701881409,,1,0,0,0,0.000152587890625,28.8367557525635,6,1,1,2.00507569313049,0,4232058208,1.92383689880371,,,7.06524324452751E-6,3.52476960360201E-7,7.06524379518664E-6,3.5247697449549E-7,0.976832687854767,0.976834356784821,26.0523948669434,0.0428934805095196,30,4,200,-0.000127815263113007,-0.541570246219635,-0.507672786712646,1,,,,,,,,,,,,,,,,
,3926935867.76131,2.07690823078156,49.8468170166016,,,6,,,,26.0534400939941,,,1,,,,,,,,,,,,,,,,,,,,,,2.00674962997437,2.13429355621338,49.8468170166016,49.8468170166016,,,2.57468438148499,,1,0,0,0,0,29.8142719268799,6,1,1,2.14815545082092,0,4232058240,2.06752231385973,,,6.95247377113726E-6,3.46826551555339E-7,6.9524734848974E-6,3.46826532649974E-7,0.98009729385376,0.980098009109497,26.0528202056885,0.042893473058939,30,4,200,-9.67044325079769E-5,-0.542169988155365,-0.508860290050507,1,,,,,,,,,,,,,,,,
,3926935887.32354,2.35187208652496,49.8468170166016,,,6,,,,26.0585144989227,,,1,,,,,,,,,,,,,,,,,,,,,,2.28105521202087,2.41206932067871,49.8468170166016,49.8468170166016,,,2.72770285606384,,1,0,0,0,0.0215911865234375,29.3255138397217,6,1,1,2.42268896102905,0,4232058272,2.34345057010651,,,6.76874171110113E-6,3.37663462707977E-7,6.76874489330526E-6,3.37663498297514E-7,0.979742407798767,0.979760408401489,26.0552730560303,5.10443639755249,30,4,200,-6.97097493684851E-5,-0.542938351631165,-0.510649025440216,1,,,,,,,,,,,,,,,,
,3926935898.04478,2.49638438224792,49.8468170166016,,,6,,,,26.0585144989227,,,1,,,,,,,,,,,,,,,,,,,,,,2.42407727241516,2.56231737136841,49.8468170166016,49.8468170166016,,,2.80643343925476,,1,0,0,0,0.000152587890625,29.3255138397217,6,1,1,2.57087206840515,0,4232058368,2.49136507511139,,,6.70500512275345E-6,3.34490558885585E-7,6.70501726490547E-6,3.34490516742789E-7,0.978784263134003,0.978875696659088,26.0659866333008,,30,4,200,-6.46627449896187E-5,-0.543518781661987,-0.511442363262177,1,,,,,,,,,,,,,,,,
,3926935908.56953,2.6489874124527,49.8468170166016,,,6,,,,26.0585144989227,,,1,,,,,,,,,,,,,,,,,,,,,,2.5745747089386,2.71856737136841,49.8468170166016,49.8468170166016,,,2.88328623771667,,1,0,0,0,0.000152587890625,29.8142719268799,6,1,1,2.7234001159668,0,4232058048,2.64410881996155,,,6.63237998200897E-6,3.30858296356903E-7,6.63241439629602E-6,3.30857986941263E-7,0.980145931243896,0.980456709861755,26.0717945098877,4.13919588027056E-6,30,4,200,-4.86196076963097E-5,-0.54374486207962,-0.512172400951385,1,,,,,,,,,,,,,,,,
,3926935919.16922,2.80143511295319,49.8468170166016,,,6,,,,26.0585144989227,,,1,,,,,,,,,,,,,,,,,,,,,,2.72498416900635,2.86056756973267,49.8468170166016,49.8468170166016,,,2.9582462310791,,1,0,0,0,0.000152587890625,29.3255138397217,6,1,1,2.87788605690002,0,4232058208,2.78787851333618,,,6.56491732662099E-6,3.27485778423999E-7,6.56493895952559E-6,3.27485524166087E-7,0.981261193752289,0.981479644775391,26.0693454742432,,30,4,200,-6.21251165284775E-5,-0.544110298156738,-0.512614130973816,1,,,,,,,,,,,,,,,,
,3926935929.8607,2.95591711997986,49.8468170166016,,,6,,,,26.0585144989227,,,1,,,,,,,,,,,,,,,,,,,,,,2.8793933391571,3.01214742660522,49.8468170166016,49.8468170166016,,,3.02915239334106,,1,0,0,0,0.0215911865234375,29.8142719268799,6,1,1,3.03244090080261,0,4232058048,2.94495071305169,,,6.51937385815844E-6,3.25226414863929E-7,6.51943766278439E-6,3.25226274344065E-7,0.979316532611847,0.979816436767578,26.0756683349609,4.41915744886501E-6,30,4,200,-6.28647831035778E-5,-0.544662475585937,-0.513450086116791,1,,,,,,,,,,,,,,,,
,3926935940.38357,3.10992932319641,49.8468170166016,,,6,,,,26.0585144989227,,,1,,,,,,,,,,,,,,,,,,,,,,3.03350853919983,3.18041467666626,49.8468170166016,49.8468170166016,,,3.09599447250366,,1,0,0,0,0.0171661376953125,29.3255138397217,6,1,1,3.18635010719299,0,4232058048,3.10685975551605,,,6.47889203332272E-6,3.23206231424222E-7,6.4789620817117E-6,3.23206238394767E-7,0.979425013065338,0.979956090450287,26.0761394500732,5.10648012161255,30,4,200,-2.3052243705024E-5,-0.544930994510651,-0.513910233974457,1,,,,,,,,,,,,,,,,
