[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3926918416.23584,06/07/2024,10:40 am
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 419, MultiVu Release 2.3.4.15,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 F0,MOTOR_HW_VERSION
INFO,MMC1118,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM313,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB345,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC210,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI318,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,ML_Namond_20240606_3_QHS_0-QHS1007C_Sm0p8Sr0p2BaCuBO5_DC-17p7mg_powderXtalmix_MvT_50oe_20240607,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,65.6,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3926920323.3816,1.79873335361481,49.7855949401855,,,3,,,,25.721549987793,,,,,,,,,,,,,,,,,,,,,,,,,1.79873335361481,1.79873335361481,49.7855949401855,49.7855949401855,,,2.44683957099915,,0,,,,,,5,1,1,1.79873335361481,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3926920351.05412,1.79937952756882,49.7855949401855,,,6,,,,25.7265615645196,,,1,,,,,,,,,,,,,,,,,,,,,,1.7976940870285,1.80208647251129,49.7855949401855,49.7855949401855,,,2.40672564506531,,1,0,0,0,0,30.3030319213867,1,1,1,1.79777109622955,0,4232058176,1.80004726515876,,,7.64960024290623E-6,3.81561685553206E-7,7.64961544264418E-6,3.81561843358424E-7,0.986589670181274,0.986707448959351,25.7332763671875,0,30,4,200,0.000127000253996812,0.195132970809937,0.23186182975769,1,,,,,,,,,,,,,,,,
,3926920369.3555,1.93052184581757,49.7855949401855,,,6,,,,25.7265615645196,,,1,,,,,,,,,,,,,,,,,,,,,,1.8573956489563,1.99366223812103,49.7855949401855,49.7855949401855,,,2.53113913536072,,1,0,0,0,0,29.3255138397217,6,1,1,2.00142931938171,0,4232058112,1.9234645485878,,,7.46482586512081E-6,3.72370383180076E-7,7.46482577449206E-6,3.72370371566874E-7,0.982260048389435,0.982261121273041,25.7258224487305,0,30,4,200,-7.83224677434191E-5,0.196203753352165,0.231816023588181,1,,,,,,,,,,,,,,,,
,3926920379.94903,2.07661759853363,49.7855949401855,,,6,,,,25.7265615645196,,,1,,,,,,,,,,,,,,,,,,,,,,2.00385499000549,2.13069200515747,49.7855949401855,49.7855949401855,,,2.62206101417542,,1,0,0,0,0,28.8367557525635,6,1,1,2.14938020706177,0,4232058304,2.0655927128262,,,7.2383541663008E-6,3.61056658405754E-7,7.23839069225774E-6,3.61056669199813E-7,0.985050559043884,0.985389888286591,25.7145709991455,0,30,4,200,-5.54481484869029E-5,0.196481093764305,0.230926856398582,1,,,,,,,,,,,,,,,,
,3926920390.42149,2.22353208065033,49.7855949401855,,,6,,,,25.7265615645196,,,1,,,,,,,,,,,,,,,,,,,,,,2.15266394615173,2.2745144367218,49.7855949401855,49.7855949401855,,,2.70657825469971,,1,0,0,0,0,28.8367557525635,6,1,1,2.29440021514893,0,4232058336,2.21084462271796,,,7.04950816009017E-6,3.51635634516696E-7,7.04954984890995E-6,3.51635581622316E-7,0.985274255275726,0.985691905021667,25.7133655548096,5.29662609100342,30,4,200,-3.17389967676718E-5,0.197029009461403,0.230453714728355,1,,,,,,,,,,,,,,,,
,3926920400.73222,2.36741828918457,49.7855949401855,,,6,,,,25.7265615645196,,,1,,,,,,,,,,,,,,,,,,,,,,2.29524302482605,2.43608927726746,49.7855949401855,49.7855949401855,,,2.78816533088684,,1,0,0,0,0,29.3255138397217,6,1,1,2.44275379180908,0,4232058272,2.36505534648895,,,6.87577509588768E-6,3.42966957690325E-7,6.87591862562344E-6,3.42967011099169E-7,0.985828995704651,0.98737508058548,25.7021789550781,0,30,4,200,-3.23624699376524E-5,0.197130233049393,0.229806929826736,1,,,,,,,,,,,,,,,,
,3926920411.4504,2.51730370521545,49.7855949401855,,,6,,,,25.7265615645196,,,1,,,,,,,,,,,,,,,,,,,,,,2.44564533233643,2.58680009841919,49.7855949401855,49.7855949401855,,,2.86737203598022,,1,0,0,0,0,29.8142719268799,6,1,1,2.59084725379944,0,4232057984,2.51631639003754,,,6.72880030439483E-6,3.35646264400267E-7,6.72903613232328E-6,3.35646675862371E-7,0.983783304691315,0.98602306842804,25.6954078674316,5.29715585708618,30,4,200,-2.20960209844634E-5,0.197490528225899,0.229353472590446,1,,,,,,,,,,,,,,,,
,3926920422.13677,2.66799437999725,49.7855949401855,,,6,,,,25.7265615645196,,,1,,,,,,,,,,,,,,,,,,,,,,2.59667444229126,2.72203063964844,49.7855949401855,49.7855949401855,,,2.94231796264648,,1,0,0,0,0,28.8367557525635,6,1,1,2.74371409416199,0,4232058048,2.65880725118849,,,6.59698585773426E-6,3.29074302459343E-7,6.59727497475797E-6,3.29074918628245E-7,0.98318487405777,0.985898077487946,25.6918678283691,0,30,4,200,-3.08186390611809E-5,0.197656720876694,0.228946700692177,1,,,,,,,,,,,,,,,,
,3926920432.6505,2.81935393810272,49.7855949401855,,,6,,,,25.7265615645196,,,1,,,,,,,,,,,,,,,,,,,,,,2.74568819999695,2.88570713996887,49.7855949401855,49.7855949401855,,,3.01660966873169,,1,0,0,0,0,29.3255138397217,6,1,1,2.89536309242249,0,4232057920,2.81483607292175,,,6.47829037438282E-6,3.23154912472665E-7,6.47868252910227E-6,3.23155637869646E-7,0.982935130596161,0.986783981323242,25.6856460571289,0,30,4,200,-1.88065278052818E-5,0.197931915521622,0.22852411866188,1,,,,,,,,,,,,,,,,
,3926920443.23075,2.97458100318909,49.7855949401855,,,6,,,,25.7265615645196,,,1,,,,,,,,,,,,,,,,,,,,,,2.89757204055786,3.05158996582031,49.7855949401855,49.7855949401855,,,3.08835768699646,,1,0,0,0,0,29.3255138397217,6,1,1,3.05158996582031,0,4232057792,2.97313668727875,,,6.37700116992779E-6,3.18105041729119E-7,6.37742663784521E-6,3.18105799326563E-7,0.982422113418579,0.986570835113525,25.683572769165,0,30,4,200,-2.47777061304078E-5,0.198112338781357,0.228249788284302,1,,,,,,,,,,,,,,,,
,3926920453.8886,3.13107562065124,49.7855949401855,,,6,,,,25.7265615645196,,,1,,,,,,,,,,,,,,,,,,,,,,3.05525279045105,3.18951630592346,49.7855949401855,49.7855949401855,,,3.15676379203796,,1,0,0,0,0,29.3255138397217,6,1,1,3.20689845085144,0,4232058400,3.11963235007392,,,6.28477332235673E-6,3.13514993039704E-7,6.28533976720257E-6,3.13515759331296E-7,0.980596244335175,0.985815703868866,25.6764011383057,0,30,4,200,-1.08406193248811E-5,0.198320403695106,0.227997019886971,1,,,,,,,,,,,,,,,,
,3926920464.49307,3.28734052181244,49.7855949401855,,,6,,,,25.7265615645196,,,1,,,,,,,,,,,,,,,,,,,,,,3.21114158630371,3.35760974884033,49.7855949401855,49.7855949401855,,,3.22233891487122,,1,0,0,0,0,28.3479976654053,6,1,1,3.36353945732117,0,4232057952,3.28305819034576,,,6.21194426719223E-6,3.09881607423342E-7,6.21261329049539E-6,3.09883019634053E-7,0.98064386844635,0.987021446228027,25.6721382141113,5.29672956466675,30,4,200,1.4881688002788E-5,0.198726788163185,0.228020131587982,1,,,,,,,,,,,,,,,,
,3926920475.00034,3.4438636302948,49.7855949401855,,,6,,,,25.7265615645196,,,1,,,,,,,,,,,,,,,,,,,,,,3.36548852920532,3.51410126686096,49.7855949401855,49.7855949401855,,,3.28460264205933,,1,0,0,0,0,29.3255138397217,6,1,1,3.52223873138428,0,4232057952,3.43759844303131,,,6.1467739459516E-6,3.06635685407431E-7,6.14729277660276E-6,3.06636404142953E-7,0.979802012443543,0.984382927417755,25.6780166625977,0,30,4,200,2.79281939583598E-5,0.198917761445045,0.228248298168182,1,,,,,,,,,,,,,,,,
,3926920485.86173,3.59861505031586,49.7855949401855,,,6,,,,25.7265615645196,,,1,,,,,,,,,,,,,,,,,,,,,,3.52866816520691,3.66032099723816,49.7855949401855,49.7855949401855,,,3.34340882301331,,1,0,0,0,0,28.8367557525635,6,1,1,3.6685619354248,0,4232058048,3.59490950107574,,,6.1003002119009E-6,3.0431809984979E-7,6.10111335427784E-6,3.04319811597662E-7,0.979682207107544,0.987447619438171,25.6660213470459,5.29671335220337,30,4,200,1.97958142962307E-5,0.199453949928284,0.228381589055061,1,,,,,,,,,,,,,,,,
