[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3927458359.44614,06/13/2024,4:39 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 419, MultiVu Release 2.3.4.15,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 F0,MOTOR_HW_VERSION
INFO,MMC1118,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM313,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB345,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC210,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI318,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,ML_Namond_20240606_2_QHS_0-QHS1007B_SmBaCuBO5_DC-13p3mg_powder_MvT_50oe_20240613.dat,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,14.2,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,66.63,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3927459953.84641,1.79866051673889,50.1284408569336,,,3,,,,28.2260665893555,,,,,,,,,,,,,,,,,,,,,,,,,1.79866051673889,1.79866051673889,50.1284408569336,50.1284408569336,,,2.74733781814575,,0,,,,,,1,1,1,1.79866051673889,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3927459970.56745,1.80055272579193,50.1284408569336,,,6,,,,28.2312397158772,,,1,,,,,,,,,,,,,,,,,,,,,,1.79879033565521,1.80093228816986,50.1284408569336,50.1284408569336,,,2.70794486999512,,1,0,0,0,0.013885498046875,28.8367557525635,1,1,1,1.80030882358551,0,4232058336,1.80013338327408,,,0.000129010845232953,6.43449693859295E-6,0.000129010924864946,6.43449637297946E-6,0.997394204139709,0.997680485248566,28.2267456054687,0,30,4,200,0.000145614787470549,-0.652194082736969,-0.0455266982316971,1,,,,,,,,,,,,,,,,
,3927459988.13794,1.9092555642128,50.1284408569336,,,6,,,,28.2312397158772,,,1,,,,,,,,,,,,,,,,,,,,,,1.84046339988709,1.97216808795929,50.1284408569336,50.1284408569336,,,2.83400678634644,,1,0,0,0,0.013885498046875,29.3255138397217,6,1,1,1.97804772853851,0,4232058432,1.90034101009369,,,0.000126183629618009,6.29372337254664E-6,0.000126183675310084,6.2937221003744E-6,0.990985155105591,0.991047978401184,28.2272205352783,0.0349106155335903,30,4,200,-0.000404605583753437,-0.645634889602661,-0.0469125807285309,1,,,,,,,,,,,,,,,,
,3927459998.71484,2.05253851413727,50.1284408569336,,,6,,,,28.2312397158772,,,1,,,,,,,,,,,,,,,,,,,,,,1.98035049438477,2.11783289909363,50.1284408569336,50.1284408569336,,,2.93712997436523,,1,0,0,0,0.013885498046875,28.8367557525635,6,1,1,2.12472653388977,0,4232058400,2.04657032489777,,,0.00012231873972735,6.10090092610155E-6,0.000122318798326226,6.10090082061451E-6,0.991952359676361,0.992014288902283,28.2274703979492,6.20231048742426E-7,30,4,200,-0.000344252563081682,-0.632721722126007,-0.05323126912117,1,,,,,,,,,,,,,,,,
,3927460009.34127,2.20024025440216,50.1284408569336,,,6,,,,28.2312397158772,,,1,,,,,,,,,,,,,,,,,,,,,,2.12741708755493,2.27160358428955,50.1284408569336,50.1284408569336,,,3.03461360931396,,1,0,0,0,0.013885498046875,28.8367557525635,6,1,1,2.27388834953308,0,4232058368,2.19570369720459,,,0.00011877080555807,5.92395645576932E-6,0.000118770840691007,5.92395606551203E-6,0.991641402244568,0.991684794425964,28.2280216217041,6.07096581006772E-7,30,4,200,-0.000331477349391207,-0.621608197689056,-0.0585659593343735,1,,,,,,,,,,,,,,,,
,3927460019.84586,2.34445118904114,50.1284408569336,,,6,,,,28.2312397158772,,,1,,,,,,,,,,,,,,,,,,,,,,2.27687215805054,2.40885806083679,50.1284408569336,50.1284408569336,,,3.12289381027222,,1,0,0,0,0.013885498046875,28.8367557525635,6,1,1,2.41203022003174,0,4232058016,2.33793692588806,,,0.000115359638384138,5.75381943762794E-6,0.000115359664400011,5.75381895096575E-6,0.991574585437775,0.991611480712891,28.2282600402832,0,30,4,200,-0.000317118829116225,-0.610576450824738,-0.063718855381012,1,,,,,,,,,,,,,,,,
,3927460030.22409,2.48808312416077,50.1284408569336,,,6,,,,28.2312397158772,,,1,,,,,,,,,,,,,,,,,,,,,,2.41421914100647,2.55103898048401,50.1284408569336,50.1284408569336,,,3.21159744262695,,1,0,0,0,0,28.8367557525635,6,1,1,2.56194710731506,0,4232058272,2.48363478183746,,,0.000111818620818793,5.57724223537742E-6,0.000111818636611257,5.57724170385195E-6,0.990809917449951,0.990835666656494,28.2286376953125,0,30,4,200,-0.0003379299887456,-0.599426925182343,-0.0688762217760086,1,,,,,,,,,,,,,,,,
,3927460040.55983,2.6383308172226,50.1284408569336,,,6,,,,28.2312397158772,,,1,,,,,,,,,,,,,,,,,,,,,,2.56572699546814,2.70461511611938,50.1284408569336,50.1284408569336,,,3.2965452671051,,1,0,0,0,0.013885498046875,29.3255138397217,6,1,1,2.71093463897705,0,4232058016,2.63348529338837,,,0.000108249972169638,5.39925359815606E-6,0.000108249985412647,5.39925312268259E-6,0.990656018257141,0.990678548812866,28.2287845611572,0,30,4,200,-0.00033127429196611,-0.587824523448944,-0.0740687251091003,1,,,,,,,,,,,,,,,,
,3927460050.96712,2.78708302974701,50.1284408569336,,,6,,,,28.2312397158772,,,1,,,,,,,,,,,,,,,,,,,,,,2.71338319778442,2.85641980171204,50.1284408569336,50.1284408569336,,,3.37757062911987,,1,0,0,0,0.013885498046875,28.8367557525635,6,1,1,2.86078286170959,0,4232058144,2.78139975070953,,,0.000104749231918391,5.22464320038459E-6,0.000104749233815776,5.22464283334705E-6,0.990687906742096,0.99069744348526,28.2296485900879,0.165130645036697,30,4,200,-0.000268284085905179,-0.576352477073669,-0.0792653933167458,1,,,,,,,,,,,,,,,,
,3927460061.23339,2.93704533576965,50.1284408569336,,,6,,,,28.2312397158772,,,1,,,,,,,,,,,,,,,,,,,,,,2.86310887336731,3.00687193870544,50.1284408569336,50.1284408569336,,,3.45532917976379,,1,0,0,0,0,30.7917900085449,6,1,1,3.010981798172,0,4232058144,2.93377120494843,,,0.000101417786798727,5.05847860682989E-6,0.000101417790463988,5.05847840864833E-6,0.990677714347839,0.990685820579529,28.2297706604004,0,30,4,200,-0.000306555943097919,-0.565137088298798,-0.0838544443249702,1,,,,,,,,,,,,,,,,
