[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3927523571.53818,06/14/2024,10:45 am
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 419, MultiVu Release 2.3.4.15,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 F0,MOTOR_HW_VERSION
INFO,MMC1118,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM313,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB345,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC210,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI318,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,ML_Namond_20240606_2_QHS_0-QHS1007B_SmBaCuBO5_DC-13p3mg_powder_MvT_50oe_20240613.dat,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,12.0,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,63.87,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3927525364.61062,1.79822862148285,50.0304832458496,,,3,,,,27.655481338501,,,,,,,,,,,,,,,,,,,,,,,,,1.79822862148285,1.79822862148285,50.0304832458496,50.0304832458496,,,2.76505136489868,,0,,,,,,5,1,1,1.79822862148285,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3927525382.98604,1.79974871873856,50.0304832458496,,,6,,,,27.6608695861935,,,1,,,,,,,,,,,,,,,,,,,,,,1.79879605770111,1.80076825618744,50.0304832458496,50.0304832458496,,,2.72835230827332,,1,0,0,0,0.013885498046875,28.8367557525635,1,1,1,1.79912066459656,0,4232058016,1.79983603954315,,,4.44005030588058E-5,2.21464708127588E-6,4.44005740824201E-5,2.214646967369E-6,0.988330364227295,0.988472700119018,27.6539726257324,0,30,4,200,6.55641342746094E-5,-0.0185117777436972,0.190931037068367,1,,,,,,,,,,,,,,,,
,3927525400.71872,1.91471409797668,50.0304832458496,,,6,,,,27.6608695861935,,,1,,,,,,,,,,,,,,,,,,,,,,1.84353363513947,1.96988487243652,50.0304832458496,50.0304832458496,,,2.85869240760803,,1,0,0,0,0.013885498046875,28.8367557525635,6,1,1,1.9858945608139,0,4232058336,1.90501390695572,,,4.272687103469E-5,2.13137462225029E-6,4.27268986356691E-5,2.13137441560581E-6,0.981831014156342,0.981871902942657,27.6562423706055,0,30,4,200,-0.000318877515383065,-0.0149423629045486,0.189307197928429,1,,,,,,,,,,,,,,,,
,3927525411.18659,2.05860859155655,50.0304832458496,,,6,,,,27.6608695861935,,,1,,,,,,,,,,,,,,,,,,,,,,1.99188363552094,2.12072563171387,50.0304832458496,50.0304832458496,,,2.95903444290161,,1,0,0,0,0.013885498046875,28.8367557525635,6,1,1,2.13132262229919,0,4232058240,2.05373758077621,,,4.07186907601264E-5,2.03114717834458E-6,4.07187095284398E-5,2.03114707793805E-6,0.983289361000061,0.983319938182831,27.6570339202881,0,30,4,200,-0.000258673273492604,-0.00925736129283905,0.184949994087219,1,,,,,,,,,,,,,,,,
,3927525421.70369,2.20756161212921,50.0304832458496,,,6,,,,27.6608695861935,,,1,,,,,,,,,,,,,,,,,,,,,,2.1360137462616,2.26202893257141,50.0304832458496,50.0304832458496,,,3.05802011489868,,1,0,0,0,0.013885498046875,29.3255138397217,6,1,1,2.27910947799683,0,4232058144,2.19575545522902,,,3.88158213394698E-5,1.93623067779442E-6,3.88158364012071E-5,1.93623056451228E-6,0.983194828033447,0.983221411705017,27.6572818756104,0,30,4,200,-0.000248667638516054,-0.00379365542903543,0.181395754218102,1,,,,,,,,,,,,,,,,
,3927525432.1728,2.35534036159515,50.0304832458496,,,6,,,,27.6608695861935,,,1,,,,,,,,,,,,,,,,,,,,,,2.28382420539856,2.41866970062256,50.0304832458496,50.0304832458496,,,3.14992690086365,,1,0,0,0,0.013885498046875,29.3255138397217,6,1,1,2.42685651779175,0,4232058432,2.34774007797241,,,3.70111671319802E-5,1.84620978234996E-6,3.70111810046484E-5,1.84620960651908E-6,0.983196020126343,0.983224034309387,27.657190322876,0,30,4,200,-0.000233454280532897,0.00128025375306606,0.177863717079163,1,,,,,,,,,,,,,,,,
,3927525442.74991,2.49080765247345,50.0304832458496,,,6,,,,27.6608695861935,,,1,,,,,,,,,,,,,,,,,,,,,,2.4199321269989,2.54844069480896,50.0304832458496,50.0304832458496,,,3.22616720199585,,1,0,0,0,0.013885498046875,29.3255138397217,6,1,1,2.55239009857178,0,4232058336,2.47962727546692,,,3.54909264164986E-5,1.77040836987287E-6,3.5490933745674E-5,1.77040822810671E-6,0.982173323631287,0.982189416885376,27.657995223999,0,30,4,200,-0.000207866673008539,0.00585194816812873,0.175333797931671,1,,,,,,,,,,,,,,,,
,3927525453.36145,2.62687623500824,50.0304832458496,,,6,,,,27.6608695861935,,,1,,,,,,,,,,,,,,,,,,,,,,2.56276798248291,2.69555640220642,50.0304832458496,50.0304832458496,,,3.30983853340149,,1,0,0,0,0.013885498046875,29.3255138397217,6,1,1,2.6984715461731,0,4232058272,2.62679324150085,,,3.38114416884543E-5,1.68661549429301E-6,3.38114473768556E-5,1.68661538331071E-6,0.98263955116272,0.982653081417084,27.6582736968994,0,30,4,200,-0.000206756216357462,0.0106935072690248,0.172179639339447,1,,,,,,,,,,,,,,,,
,3927525463.96806,2.77035975456238,50.0304832458496,,,6,,,,27.6608695861935,,,1,,,,,,,,,,,,,,,,,,,,,,2.70078301429749,2.83240723609924,50.0304832458496,50.0304832458496,,,3.38504314422607,,1,0,0,0,0.013885498046875,29.3255138397217,6,1,1,2.83993649482727,0,4232058048,2.76439020633698,,,3.22955075020689E-5,1.61099369184451E-6,3.22955142119303E-5,1.61099355731095E-6,0.982719838619232,0.982736706733704,27.6579723358154,2.2248395907809E-5,30,4,200,-0.000204106007004157,0.015184773132205,0.169352322816849,1,,,,,,,,,,,,,,,,
,3927525474.66579,2.91083407402039,50.0304832458496,,,6,,,,27.6608695861935,,,1,,,,,,,,,,,,,,,,,,,,,,2.84252905845642,2.97599768638611,50.0304832458496,50.0304832458496,,,3.45445823669434,,1,0,0,0,0.013885498046875,28.8367557525635,6,1,1,2.97913908958435,0,4232058048,2.90157890319824,,,3.09009049968954E-5,1.54139508701098E-6,3.09009177772851E-5,1.54139486328231E-6,0.983964264392853,0.983999133110046,27.6568584442139,0,30,4,200,-0.000152481166878715,0.0194960497319698,0.166826546192169,1,,,,,,,,,,,,,,,,
