[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3928747773.42853,06/28/2024,2:49 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 419, MultiVu Release 2.3.4.15,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 F0,MOTOR_HW_VERSION
INFO,MMC1118,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM313,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB345,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC210,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI318,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,ML_Namond_20240627_1_QHS_0-QHS1040A_SmBa0p8K0p2CuBO5_DC-10p5mg_MvT_50oe_20240628.dat,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,10.5,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,65.15,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3928749257.93644,1.79809474945068,49.9080390930176,,,3,,,,25.4560012817383,,,,,,,,,,,,,,,,,,,,,,,,,1.79809474945068,1.79809474945068,49.9080390930176,49.9080390930176,,,2.73945474624634,,0,,,,,,5,1,1,1.79809474945068,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3928749286.71179,1.80006104707718,49.9080390930176,,,6,,,,25.4560012817383,,,1,,,,,,,,,,,,,,,,,,,,,,1.7976256608963,1.80140101909637,49.9080390930176,49.9080390930176,,,2.69520998001099,,1,0,0,0,0.0146484375,28.8367557525635,1,1,1,1.7995879650116,0,4232057728,1.79994617700577,,,3.77752445306481E-5,1.88415015860869E-6,3.7775249694274E-5,1.88415026691845E-6,0.990100741386414,0.990108728408813,25.4575042724609,0,30,4,200,0.00010094325261889,-0.428627580404282,-0.250141561031342,1,,,,,,,,,,,,,,,,
,3928749304.08437,1.92524206638336,49.9080390930176,,,6,,,,25.4560012817383,,,1,,,,,,,,,,,,,,,,,,,,,,1.85589182376862,1.98481261730194,49.9080390930176,49.9080390930176,,,2.8345193862915,,1,0,0,0,0.01861572265625,28.3479976654053,6,1,1,1.99459230899811,0,4232057888,1.91849466562271,,,3.61060320180815E-5,1.80103486534823E-6,3.6106038446649E-5,1.8010350043037E-6,0.984007477760315,0.984013795852661,25.4576969146729,6.35449981689453,30,4,200,-0.000244469963945448,-0.424386739730835,-0.252121806144714,1,,,,,,,,,,,,,,,,
,3928749314.12791,2.06310051679611,49.9080390930176,,,6,,,,25.4560012817383,,,1,,,,,,,,,,,,,,,,,,,,,,1.99459230899811,2.13160872459412,49.9080390930176,49.9080390930176,,,2.92918419837952,,1,0,0,0,0.020904541015625,27.8592376708984,6,1,1,2.13160872459412,0,4232057824,2.05964282751083,,,3.44337283625462E-5,1.71761641199551E-6,3.44337359796569E-5,1.7176165481676E-6,0.98406594991684,0.984074890613556,25.4580135345459,0,30,4,200,-0.000212427141377702,-0.419253259897232,-0.255129843950272,1,,,,,,,,,,,,,,,,
,3928749323.9515,2.20031476020813,49.9080390930176,,,6,,,,25.4560012817383,,,1,,,,,,,,,,,,,,,,,,,,,,2.13282895088196,2.2678005695343,49.9080390930176,49.9080390930176,,,3.02153468132019,,1,0,0,0,0.0197601318359375,28.3479976654053,6,1,1,2.2678005695343,0,4232057760,2.19547729492187,,,3.28104362918803E-5,1.63665606228688E-6,3.28104471783968E-5,1.63665633440526E-6,0.98359876871109,0.983608841896057,25.4581737518311,,30,4,200,-0.000208012890652753,-0.414513856172562,-0.258006691932678,1,,,,,,,,,,,,,,,,
,3928749333.7915,2.33922600746155,49.9080390930176,,,6,,,,25.4560012817383,,,1,,,,,,,,,,,,,,,,,,,,,,2.2697160243988,2.4000027179718,49.9080390930176,49.9080390930176,,,3.10780429840088,,1,0,0,0,0.0159454345703125,28.8367557525635,6,1,1,2.40873599052429,0,4232057888,2.3334938287735,,,3.12653102736127E-5,1.55957854064075E-6,3.12653221794333E-5,1.55957860952285E-6,0.983723163604736,0.983743846416473,25.459098815918,0.0650849714875221,30,4,200,-0.000185919983778149,-0.409809976816177,-0.260654807090759,1,,,,,,,,,,,,,,,,
,3928749343.68134,2.47986352443695,49.9080390930176,,,6,,,,25.4560012817383,,,1,,,,,,,,,,,,,,,,,,,,,,2.40969634056091,2.54385280609131,49.9080390930176,49.9080390930176,,,3.19429969787598,,1,0,0,0,0.013885498046875,28.8367557525635,6,1,1,2.55003070831299,0,4232057888,2.47353994846344,,,2.9755614266058E-5,1.48428114207132E-6,2.97556259213189E-5,1.48428125500053E-6,0.983335673809052,0.98335462808609,25.4589996337891,0.188764959573746,30,4,200,-0.000186717414180748,-0.404950767755508,-0.26312518119812,1,,,,,,,,,,,,,,,,
,3928749353.54621,2.61926376819611,49.9080390930176,,,6,,,,25.4560012817383,,,1,,,,,,,,,,,,,,,,,,,,,,2.55003070831299,2.68450736999512,49.9080390930176,49.9080390930176,,,3.27599954605103,,1,0,0,0,0.0191497802734375,28.3479976654053,6,1,1,2.68849682807922,0,4232057792,2.61447012424469,,,2.8304665107105E-5,1.41190547348686E-6,2.83046845990524E-5,1.41190578493254E-6,0.983301341533661,0.98332941532135,25.4596538543701,0,30,4,200,-0.0001699765707599,-0.400584399700165,-0.265535801649094,1,,,,,,,,,,,,,,,,
,3928749363.3381,2.74842667579651,49.9080390930176,,,6,,,,25.4560012817383,,,1,,,,,,,,,,,,,,,,,,,,,,2.67877244949341,2.78538012504578,49.9080390930176,49.9080390930176,,,3.34267163276672,,1,0,0,0,0.013885498046875,28.3479976654053,6,1,1,2.80835652351379,0,4232057888,2.73050665855408,,,2.71255234648405E-5,1.35308169494789E-6,2.71255377143424E-5,1.35308191608886E-6,0.983531296253204,0.983553290367127,25.4592132568359,5.0457124710083,30,4,200,-0.000157872156705707,-0.39687317609787,-0.267322242259979,1,,,,,,,,,,,,,,,,
,3928749382.12122,2.99081969261169,49.9080390930176,,,6,,,,25.4610541393062,,,1,,,,,,,,,,,,,,,,,,,,,,2.93136787414551,3.03766202926636,49.9080390930176,49.9080390930176,,,3.46329689025879,,1,0,0,0,0.01434326171875,28.3479976654053,6,1,1,3.05027151107788,0,4232057824,2.9774135351181,,,2.49586018984235E-5,1.24496890211483E-6,2.49586024151639E-5,1.24496892029144E-6,0.984627842903137,0.984628260135651,25.4614715576172,0,30,4,200,-0.000107532323454507,-0.389967262744904,-0.270877867937088,1,,,,,,,,,,,,,,,,
