[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3928752870.13108,06/28/2024,4:14 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 419, MultiVu Release 2.3.4.15,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 F0,MOTOR_HW_VERSION
INFO,MMC1118,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM313,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB345,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC210,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI318,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,ML_Poot_20240625_7_QHS_0-QHS1032G_SmBa0p9K0p1CuBO5_DC-12p2mg_MvT_50oe_20240628.dat,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,12.2,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,65.17,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3928754384.9929,1.79933857917786,50.0059928894043,,,3,,,,26.5936660766602,,,,,,,,,,,,,,,,,,,,,,,,,1.79933857917786,1.79933857917786,50.0059928894043,50.0059928894043,,,2.73870396614075,,0,,,,,,5,1,1,1.79933857917786,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3928754413.65018,1.80008989572525,50.0059928894043,,,6,,,,26.5936660766602,,,1,,,,,,,,,,,,,,,,,,,,,,1.79893612861633,1.80030286312103,50.0059928894043,50.0059928894043,,,2.69712090492249,,1,0,0,0,0.013885498046875,28.3479976654053,1,1,1,1.79988956451416,0,4232058112,1.79973320960999,,,5.84680743318648E-5,2.91629634373589E-6,5.84680771007129E-5,2.91629640377817E-6,0.989067077636719,0.989069521427155,26.594539642334,8.50837551524819E-8,30,4,200,0.000106582141597755,-0.360397696495056,-0.0839086323976517,1,,,,,,,,,,,,,,,,
,3928754430.68928,1.91693633794785,50.0059928894043,,,6,,,,26.5936660766602,,,1,,,,,,,,,,,,,,,,,,,,,,1.8510320186615,1.97345376014709,50.0059928894043,50.0059928894043,,,2.82706809043884,,1,0,0,0,0.013885498046875,28.3479976654053,6,1,1,1.98284065723419,0,4232057888,1.91120444536209,,,5.63912247718474E-5,2.81289830784576E-6,5.63912284592346E-5,2.81289818484038E-6,0.984029293060303,0.984036087989807,26.5919036865234,0,30,4,200,-0.000240403489442542,-0.355518966913223,-0.0860483050346375,1,,,,,,,,,,,,,,,,
,3928754440.52619,2.0525010228157,50.0059928894043,,,6,,,,26.5936660766602,,,1,,,,,,,,,,,,,,,,,,,,,,1.98578107357025,2.11297869682312,50.0059928894043,50.0059928894043,,,2.92339086532593,,1,0,0,0,0.013885498046875,28.3479976654053,6,1,1,2.11922097206116,0,4232057920,2.04637156592475,,,5.40787655305569E-5,2.69751246877756E-6,5.4078769663846E-5,2.69751253535819E-6,0.984861314296722,0.984864771366119,26.5948791503906,,30,4,200,-0.000299228471703827,-0.348139077425003,-0.0895835161209106,1,,,,,,,,,,,,,,,,
,3928754450.35369,2.1898295879364,50.0059928894043,,,6,,,,26.5936660766602,,,1,,,,,,,,,,,,,,,,,,,,,,2.12266898155212,2.25087380409241,50.0059928894043,50.0059928894043,,,3.01558041572571,,1,0,0,0,0.013885498046875,28.3479976654053,6,1,1,2.25699019432068,0,4232057952,2.18395156860352,,,5.19242987095862E-5,2.59006295930858E-6,5.19243007867146E-5,2.59006300192511E-6,0.984421730041504,0.984423279762268,26.5944843292236,3.41376447677612,30,4,200,-0.000245520874159411,-0.341545909643173,-0.0935132503509522,1,,,,,,,,,,,,,,,,
,3928754460.12439,2.32593071460724,50.0059928894043,,,6,,,,26.5936660766602,,,1,,,,,,,,,,,,,,,,,,,,,,2.25996541976929,2.39189600944519,50.0059928894043,50.0059928894043,,,3.10408473014832,,1,0,0,0,0.013885498046875,28.3479976654053,6,1,1,2.39189600944519,0,4232058016,2.32200177510579,,,4.98273565331336E-5,2.48546474576375E-6,4.98273568948659E-5,2.48546476023034E-6,0.984425008296967,0.984425067901611,26.5938682556152,0,30,4,200,-0.000233989092521369,-0.335015833377838,-0.0969302207231522,1,,,,,,,,,,,,,,,,
,3928754469.90963,2.46392405033112,50.0059928894043,,,6,,,,26.5936660766602,,,1,,,,,,,,,,,,,,,,,,,,,,2.39510679244995,2.5294303894043,50.0059928894043,50.0059928894043,,,3.18880367279053,,1,0,0,0,0.013885498046875,28.3479976654053,6,1,1,2.53274130821228,0,4232058176,2.45976502895355,,,4.78020855136629E-5,2.38445689814922E-6,4.78020876916606E-5,2.38445695817764E-6,0.983988225460052,0.983989536762238,26.5944290161133,0,30,4,200,-0.00022375320259016,-0.328676611185074,-0.100066088140011,1,,,,,,,,,,,,,,,,
,3928754479.79965,2.59978568553925,50.0059928894043,,,6,,,,26.5936660766602,,,1,,,,,,,,,,,,,,,,,,,,,,2.53914451599121,2.63810086250305,50.0059928894043,50.0059928894043,,,3.26560282707214,,1,0,0,0,0.013885498046875,28.8367557525635,6,1,1,2.66042685508728,0,4232058080,2.5910283724467,,,4.58201833144669E-5,2.28558796854395E-6,4.58201838207827E-5,2.28558798645753E-6,0.98420387506485,0.984204053878784,26.5939693450928,,30,4,200,-0.00014401474618353,-0.322163820266724,-0.103163294494152,1,,,,,,,,,,,,,,,,
,3928754498.23632,2.83723986148834,50.0059928894043,,,6,,,,26.5986999214455,,,1,,,,,,,,,,,,,,,,,,,,,,2.77918910980225,2.89331912994385,50.0059928894043,50.0059928894043,,,3.38920617103577,,1,0,0,0,0.013885498046875,29.3255138397217,6,1,1,2.89529061317444,0,4232058208,2.83758854866028,,,4.26909984436136E-5,2.12947591583195E-6,4.26910613266952E-5,2.12947548647363E-6,0.98491632938385,0.985027730464935,26.5917949676514,,30,4,200,-0.000152176799019799,-0.31183847784996,-0.1079186424613,1,,,,,,,,,,,,,,,,
,3928754508.02953,2.96187829971313,50.0059928894043,,,6,,,,26.5986999214455,,,1,,,,,,,,,,,,,,,,,,,,,,2.89653420448303,3.02444338798523,50.0059928894043,50.0059928894043,,,3.45520043373108,,1,0,0,0,0.013885498046875,28.3479976654053,6,1,1,3.02722239494324,0,4232058272,2.95633010864258,,,4.12457992203969E-5,2.05741702175446E-6,4.12458314117088E-5,2.05741674241335E-6,0.983994543552399,0.984051883220673,26.5935935974121,0.010533906519413,30,4,200,-0.000173310734680854,-0.307484984397888,-0.110205203294754,1,,,,,,,,,,,,,,,,
