[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3928730158.52837,06/28/2024,9:55 am
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 419, MultiVu Release 2.3.4.15,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 F0,MOTOR_HW_VERSION
INFO,MMC1118,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM313,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB345,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC210,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI318,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,ML_Poot_20240625_5_QHS_0-QHS1032F_SmBa0p8K0p2CuBO5_DC-15p1mg_MvT_50oe_20240628.dat,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,15.1,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,65.98,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3928731729.31287,1.80021727085114,49.8713073730469,,,3,,,,25.2559700012207,,,,,,,,,,,,,,,,,,,,,,,,,1.80021727085114,1.80021727085114,49.8713073730469,49.8713073730469,,,2.80167388916016,,0,,,,,,5,1,1,1.80021727085114,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3928731757.41953,1.80024218559265,49.8713073730469,,,6,,,,25.2559700012207,,,1,,,,,,,,,,,,,,,,,,,,,,1.79876267910004,1.80092585086822,49.8713073730469,49.8713073730469,,,2.75726199150085,,1,0,0,0,0.0147247314453125,27.8592376708984,1,1,1,1.80026936531067,0,4232057632,1.79998570680618,,,2.04431965389188E-5,1.01974787867942E-6,2.04432040504501E-5,1.01974803832286E-6,0.983797132968903,0.983810126781464,25.2584342956543,5.32166893663089E-7,30,4,200,2.19942230614834E-5,0.113841868937016,0.2098039239645,1,,,,,,,,,,,,,,,,
,3928731774.30528,1.91668921709061,49.8713073730469,,,6,,,,25.2559700012207,,,1,,,,,,,,,,,,,,,,,,,,,,1.85265123844147,1.97756743431091,49.8713073730469,49.8713073730469,,,2.88971209526062,,1,0,0,0,0.013885498046875,28.3479976654053,6,1,1,1.98072719573975,0,4232057984,1.91181670427322,,,1.9583052220699E-5,9.76928709739499E-7,1.95830586375556E-5,9.76928857150788E-7,0.979024112224579,0.979032516479492,25.2582263946533,0,30,4,200,-0.000211939797736704,0.115167208015919,0.208344459533691,1,,,,,,,,,,,,,,,,
,3928731784.21814,2.0505353808403,49.8713073730469,,,6,,,,25.2559700012207,,,1,,,,,,,,,,,,,,,,,,,,,,1.98393952846527,2.11198902130127,49.8713073730469,49.8713073730469,,,2.98479771614075,,1,0,0,0,0.013885498046875,29.3255138397217,6,1,1,2.11713123321533,0,4232057824,2.04760180711746,,,1.86517300102829E-5,9.30455403495382E-7,1.86517361894381E-5,9.30455502773994E-7,0.979685783386231,0.979696869850159,25.2585124969482,,30,4,200,-0.000170669358340092,0.117250770330429,0.205896124243736,1,,,,,,,,,,,,,,,,
,3928731794.08329,2.1867516040802,49.8713073730469,,,6,,,,25.2559700012207,,,1,,,,,,,,,,,,,,,,,,,,,,2.11951518058777,2.25028562545776,49.8713073730469,49.8713073730469,,,3.08044052124023,,1,0,0,0,0.013885498046875,28.3479976654053,6,1,1,2.25398802757263,0,4232057792,2.18171682357788,,,1.78049427765549E-5,8.88222436340283E-7,1.78049453543738E-5,8.8822250052451E-7,0.979170143604279,0.979173600673676,25.2574157714844,3.21158027648926,30,4,200,-0.000170193685335107,0.119044810533524,0.203681975603104,1,,,,,,,,,,,,,,,,
,3928731803.8886,2.32216703891754,49.8713073730469,,,6,,,,25.2559700012207,,,1,,,,,,,,,,,,,,,,,,,,,,2.25890231132507,2.39034605026245,49.8713073730469,49.8713073730469,,,3.1637179851532,,1,0,0,0,0.013885498046875,27.8592376708984,6,1,1,2.39034605026245,0,4232058112,2.32205803394318,,,1.69310725433667E-5,8.44634602849882E-7,1.69310755565175E-5,8.44634682924332E-7,0.978820443153381,0.978824377059937,25.2575168609619,0.0479078143835068,30,4,200,-0.000159389644977637,0.120777063071728,0.201476529240608,1,,,,,,,,,,,,,,,,
,3928731822.37404,2.58798158168793,49.8713073730469,,,6,,,,25.2610246240573,,,1,,,,,,,,,,,,,,,,,,,,,,2.51799845695496,2.65050983428955,49.8713073730469,49.8713073730469,,,3.32659459114075,,1,0,0,0,0.013885498046875,28.3479976654053,6,1,1,2.6579647064209,0,4232058048,2.58300092220306,,,1.53300976736236E-5,7.6478359414297E-7,1.53301028803404E-5,7.64783505266715E-7,0.977842807769775,0.977863371372223,25.2574005126953,1.84844816430996E-6,30,4,200,-0.000155351372086443,0.124577581882477,0.197730720043182,1,,,,,,,,,,,,,,,,
,3928731832.19882,2.72878956794739,49.8713073730469,,,6,,,,25.2610246240573,,,1,,,,,,,,,,,,,,,,,,,,,,2.66005635261536,2.79752278327942,49.8713073730469,49.8713073730469,,,3.40840125083923,,1,0,0,0,0.013885498046875,27.8592376708984,6,1,1,2.79752278327942,0,4232057600,2.7247419834137,,,1.45164781757014E-5,7.24196122125212E-7,1.45164851654327E-5,7.24196069157184E-7,0.977700650691986,0.977725565433502,25.2570285797119,0.0443316511809826,30,4,200,-0.000156858208356425,0.126543626189232,0.1957718282938,1,,,,,,,,,,,,,,,,
,3928731842.06059,2.86914646625519,49.8713073730469,,,6,,,,25.2610246240573,,,1,,,,,,,,,,,,,,,,,,,,,,2.79926466941834,2.92690920829773,49.8713073730469,49.8713073730469,,,3.4870822429657,,1,0,0,0,0.013885498046875,28.8367557525635,6,1,1,2.94181251525879,0,4232058048,2.85956377453274,,,1.37491208239872E-5,6.85919823314984E-7,1.37491373490756E-5,6.8591957562232E-7,0.977349936962128,0.977418959140778,25.2543144226074,0,30,4,200,-0.000138131363200955,0.128295868635178,0.193862169981003,1,,,,,,,,,,,,,,,,
,3928731851.92488,3.00133526325226,49.8713073730469,,,6,,,,25.2610246240573,,,1,,,,,,,,,,,,,,,,,,,,,,2.94181251525879,3.06170654296875,49.8713073730469,49.8713073730469,,,3.5535318851471,,1,0,0,0,0.013885498046875,28.3479976654053,6,1,1,3.06085801124573,0,4232057696,3.00697145462036,,,1.30286676045124E-5,6.49978663935977E-7,1.30286931349187E-5,6.49978586822431E-7,0.977273106575012,0.977364718914032,25.253288269043,0,30,4,200,-0.000108387932414189,0.130076631903648,0.192196279764175,1,,,,,,,,,,,,,,,,
,3928731861.8024,3.13771414756775,49.8713073730469,,,6,,,,25.2610246240573,,,1,,,,,,,,,,,,,,,,,,,,,,3.0696964263916,3.19238758087158,49.8713073730469,49.8713073730469,,,3.62459349632263,,1,0,0,0,0.013885498046875,28.3479976654053,6,1,1,3.2057318687439,0,4232057856,3.12888484530979,,,1.24296028578762E-5,6.20080179056183E-7,1.24296256049515E-5,6.20079974796118E-7,0.978167057037353,0.978266179561615,25.2531394958496,0,30,4,200,-0.000130424697999842,0.131472170352936,0.190714746713638,1,,,,,,,,,,,,,,,,
,3928731871.66759,3.27706897258759,49.8713073730469,,,6,,,,25.2610246240573,,,1,,,,,,,,,,,,,,,,,,,,,,3.20777344703674,3.33664298057556,49.8713073730469,49.8713073730469,,,3.68928360939026,,1,0,0,0,0.013885498046875,28.3479976654053,6,1,1,3.34636449813843,0,4232058176,3.27174003124237,,,1.18044192181334E-5,5.88904571137616E-7,1.18044458705888E-5,5.88904341056814E-7,0.977161943912506,0.977278172969818,25.2522888183594,0,30,4,200,-0.000129948472022079,0.132942631840706,0.189306899905205,1,,,,,,,,,,,,,,,,
