[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3930484727.85075,07/18/2024,5:18 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 419, MultiVu Release 2.3.4.15,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 F0,MOTOR_HW_VERSION
INFO,MMC1118,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM313,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB345,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC210,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI318,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,ML_Wallace_20240715_4_QHS_0-QHS1059D_SmBa0p5Sr0p3K0p2CuBO5_DC-17p1mg_MvT_50oe_20240718,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,65.79,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3930486347.26027,1.79872906208038,49.8223266601562,,,3,,,,26.6613903045654,,,,,,,,,,,,,,,,,,,,,,,,,1.79872906208038,1.79872906208038,49.8223266601562,49.8223266601562,,,2.79084658622742,,0,,,,,,5,1,1,1.79872906208038,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3930486364.21456,1.80065822601318,49.8223266601562,,,6,,,,26.6613903045654,,,1,,,,,,,,,,,,,,,,,,,,,,1.79893434047699,1.80081641674042,49.8223266601562,49.8223266601562,,,2.75357174873352,,1,0,0,0,0.0139617919921875,28.3479976654053,1,1,1,1.80081641674042,0,2084574432,1.80007200241089,,,0.000391865427415112,1.95457501756286E-5,0.000391865427106606,1.95457501599144E-5,0.988547921180725,0.988547921180725,26.6613693237305,2.31880068778992,30,4,200,0.000221091147977859,-2.07749676704407,-0.228242427110672,1,,,,,,,,,,,,,,,,
,3930486381.08094,1.92249363660812,49.8223266601562,,,6,,,,26.6613903045654,,,1,,,,,,,,,,,,,,,,,,,,,,1.85645949840546,1.98499739170074,49.8223266601562,49.8223266601562,,,2.887446641922,,1,0,0,0,0,28.3479976654053,6,1,1,1.98852777481079,0,2084574528,1.91648043394089,,,0.000389287245602102,1.94171924173332E-5,0.000389287243933298,1.94171920045129E-5,0.988378822803497,0.988380312919617,26.6606960296631,8.43257339511183E-8,30,4,200,-0.000217728549614549,-2.07159352302551,-0.230600386857986,1,,,,,,,,,,,,,,,,
,3930486390.94176,2.05847656726837,49.8223266601562,,,6,,,,26.6613903045654,,,1,,,,,,,,,,,,,,,,,,,,,,1.99136471748352,2.12173771858215,49.8223266601562,49.8223266601562,,,2.9834930896759,,1,0,0,0,0.013885498046875,28.8367557525635,6,1,1,2.12558841705322,0,2084574304,2.05305743217468,,,0.000386966691612601,1.93014212606021E-5,0.000386966701189759,1.93014207039132E-5,0.988481998443603,0.988486647605896,26.6601543426514,,30,4,200,-0.00013489049160853,-2.06386637687683,-0.234863936901093,1,,,,,,,,,,,,,,,,
,3930486409.42423,2.31344377994537,49.8223266601562,,,6,,,,26.6664081516468,,,1,,,,,,,,,,,,,,,,,,,,,,2.24673891067505,2.36911869049072,49.8223266601562,49.8223266601562,,,3.14870405197144,,1,0,0,0,0.013885498046875,28.8367557525635,6,1,1,2.3801486492157,0,2084574432,2.30559582710266,,,0.000383766581564621,1.91418298639049E-5,0.000383767164237305,1.91418266945958E-5,0.988361597061157,0.988507151603699,26.6594848632813,0.227935969829559,30,4,200,-6.78615760989487E-5,-2.05430936813354,-0.241053253412247,1,,,,,,,,,,,,,,,,
,3930486419.24538,2.44739997386932,49.8223266601562,,,6,,,,26.6664081516468,,,1,,,,,,,,,,,,,,,,,,,,,,2.3801486492157,2.51465129852295,49.8223266601562,49.8223266601562,,,3.23421859741211,,1,0,0,0,0,27.3704795837402,6,1,1,2.51465129852295,0,2084574304,2.44523024559021,,,0.00038234854964018,1.90711078839797E-5,0.00038234922206282,1.90711052833638E-5,0.988327860832214,0.988491356372833,26.6590633392334,0.188803553581238,30,4,200,-4.13791967730504E-5,-2.04993653297424,-0.243643790483475,1,,,,,,,,,,,,,,,,
,3930486429.05129,2.58745908737183,49.8223266601562,,,6,,,,26.6664081516468,,,1,,,,,,,,,,,,,,,,,,,,,,2.51784110069275,2.64995765686035,49.8223266601562,49.8223266601562,,,3.3172333240509,,1,0,0,0,0,28.3479976654053,6,1,1,2.6570770740509,0,2084574304,2.58316230773926,,,0.00038103956896416,1.9005817572671E-5,0.000381040381878052,1.90058163578001E-5,0.988325774669647,0.988515555858612,26.6585006713867,,30,4,200,-6.81607270962559E-5,-2.04598069190979,-0.246055781841278,1,,,,,,,,,,,,,,,,
,3930486438.89011,2.73058021068573,49.8223266601562,,,6,,,,26.6664081516468,,,1,,,,,,,,,,,,,,,,,,,,,,2.66002440452576,2.79321002960205,49.8223266601562,49.8223266601562,,,3.3981466293335,,1,0,0,0,0.013885498046875,28.3479976654053,6,1,1,2.8011360168457,0,2084574688,2.72421548366547,,,0.000379867712733098,1.89473732540126E-5,0.000379868507547861,1.89473665393784E-5,0.988309264183044,0.988520443439484,26.6580638885498,0,30,4,200,-3.87679137929808E-5,-2.04243850708008,-0.248198598623276,1,,,,,,,,,,,,,,,,
,3930486448.74267,2.87225079536438,49.8223266601562,,,6,,,,26.6664081516468,,,1,,,,,,,,,,,,,,,,,,,,,,2.8011360168457,2.93749332427978,49.8223266601562,49.8223266601562,,,3.47573852539063,,1,0,0,0,0,28.3479976654053,6,1,1,2.94336557388306,0,2084574400,2.86724441051483,,,0.000378819410662225,1.88950839298355E-5,0.000378820310206633,1.88950769142945E-5,0.98828512430191,0.988521873950958,26.6575679779053,,30,4,200,-7.97881784819765E-6,-2.03934526443481,-0.250259131193161,1,,,,,,,,,,,,,,,,
,3930486458.61092,3.01803267002106,49.8223266601562,,,6,,,,26.6664081516468,,,1,,,,,,,,,,,,,,,,,,,,,,2.94833540916443,3.08365440368652,49.8223266601562,49.8223266601562,,,3.55007123947144,,1,0,0,0,0.013885498046875,28.3479976654053,6,1,1,3.08772993087769,0,2084574432,3.01258068084717,,,0.000377733630743739,1.88409397258959E-5,0.000377734627392906,1.88409321020683E-5,0.988251686096191,0.988513648509979,26.6571006774902,0,30,4,200,-1.27584307847428E-5,-2.0363655090332,-0.252050042152405,1,,,,,,,,,,,,,,,,
